settlementDate,settlementPeriod,DAM,DAI
2020-12-20,1.0,27928.0,-101.0
2020-12-20,2.0,27965.0,-16.0
2020-12-20,3.0,28570.0,334.0
2020-12-20,4.0,28927.0,464.0
2020-12-20,5.0,29006.0,468.0
2020-12-20,6.0,29517.0,899.0
2020-12-20,7.0,29331.0,611.0
2020-12-20,8.0,28937.0,505.0
2020-12-20,9.0,29283.0,638.0
2020-12-20,10.0,29274.0,544.0
2020-12-20,11.0,30109.0,1022.0
2020-12-20,12.0,30240.0,953.0
2020-12-20,13.0,30842.0,1025.0
2020-12-20,14.0,30247.0,239.0
2020-12-20,15.0,30714.0,612.0
2020-12-20,16.0,30033.0,84.0
2020-12-20,17.0,29660.0,-811.0
2020-12-20,18.0,27917.0,-2008.0
2020-12-20,19.0,27244.0,-1788.0
2020-12-20,20.0,27015.0,-1758.0
2020-12-20,21.0,26719.0,-1814.0
2020-12-20,22.0,26378.0,-1775.0
2020-12-20,23.0,26426.0,-1449.0
2020-12-20,24.0,25904.0,-1522.0
2020-12-20,25.0,25739.0,-1467.0
2020-12-20,26.0,25956.0,-1047.0
2020-12-20,27.0,26082.0,-463.0
2020-12-20,28.0,25830.0,-524.0
2020-12-20,29.0,25486.0,-491.0
2020-12-20,30.0,24924.0,66.0
2020-12-20,31.0,23723.0,-320.0
2020-12-20,32.0,22804.0,60.0
2020-12-20,33.0,21571.0,329.0
2020-12-20,34.0,20209.0,169.0
2020-12-20,35.0,19274.0,-165.0
2020-12-20,36.0,19169.0,212.0
2020-12-20,37.0,19482.0,691.0
2020-12-20,38.0,19823.0,396.0
2020-12-20,39.0,20688.0,-608.0
2020-12-20,40.0,21422.0,-1178.0
2020-12-20,41.0,22037.0,-1273.0
2020-12-20,42.0,23505.0,-934.0
2020-12-20,43.0,24430.0,-1755.0
2020-12-20,44.0,25833.0,-2594.0
2020-12-20,45.0,26662.0,-2334.0
2020-12-20,46.0,27705.0,-1890.0
2020-12-20,47.0,29101.0,-1105.0
2020-12-20,48.0,30388.0,-190.0
2020-12-21,1.0,31667.0,-36.0
2020-12-21,2.0,30961.0,-573.0
2020-12-21,3.0,30948.0,-552.0
2020-12-21,4.0,31915.0,-216.0
2020-12-21,5.0,32193.0,-358.0
2020-12-21,6.0,32195.0,-397.0
2020-12-21,7.0,32447.0,-532.0
2020-12-21,8.0,32816.0,-186.0
2020-12-21,9.0,32041.0,-157.0
2020-12-21,10.0,31640.0,-522.0
2020-12-21,11.0,32559.0,265.0
2020-12-21,12.0,32818.0,248.0
2020-12-21,13.0,31003.0,-973.0
2020-12-21,14.0,28496.0,-559.0
2020-12-21,15.0,23929.0,-30.0
2020-12-21,16.0,22168.0,-188.0
2020-12-21,17.0,21224.0,-39.0
2020-12-21,18.0,20274.0,78.0
2020-12-21,19.0,19310.0,-400.0
2020-12-21,20.0,19107.0,-227.0
2020-12-21,21.0,19621.0,509.0
2020-12-21,22.0,19579.0,819.0
2020-12-21,23.0,19523.0,893.0
2020-12-21,24.0,19538.0,859.0
2020-12-21,25.0,19175.0,531.0
2020-12-21,26.0,19160.0,385.0
2020-12-21,27.0,19086.0,119.0
2020-12-21,28.0,19297.0,310.0
2020-12-21,29.0,19548.0,96.0
2020-12-21,30.0,19787.0,243.0
2020-12-21,31.0,19405.0,352.0
2020-12-21,32.0,18185.0,-401.0
2020-12-21,33.0,16787.0,-501.0
2020-12-21,34.0,15829.0,-773.0
2020-12-21,35.0,15068.0,-997.0
2020-12-21,36.0,15230.0,-756.0
2020-12-21,37.0,16259.0,-201.0
2020-12-21,38.0,17447.0,163.0
2020-12-21,39.0,19508.0,-61.0
2020-12-21,40.0,20993.0,-738.0
2020-12-21,41.0,22003.0,-3.0
2020-12-21,42.0,23306.0,320.0
2020-12-21,43.0,24881.0,116.0
2020-12-21,44.0,25908.0,266.0
2020-12-21,45.0,28203.0,490.0
2020-12-21,46.0,29803.0,728.0
2020-12-21,47.0,29971.0,961.0
2020-12-21,48.0,29143.0,639.0
