settlementDate,settlementPeriod,System total load Consumption
2020-12-20,1.0,25732.0
2020-12-20,2.0,25545.0
2020-12-20,3.0,24831.0
2020-12-20,4.0,24006.0
2020-12-20,5.0,23500.0
2020-12-20,6.0,23023.0
2020-12-20,7.0,22438.0
2020-12-20,8.0,21921.0
2020-12-20,9.0,21686.0
2020-12-20,10.0,21916.0
2020-12-20,11.0,22172.0
2020-12-20,12.0,22847.0
2020-12-20,13.0,23716.0
2020-12-20,14.0,24692.0
2020-12-20,15.0,25794.0
2020-12-20,16.0,27023.0
2020-12-20,17.0,28743.0
2020-12-20,18.0,30393.0
2020-12-20,19.0,31810.0
2020-12-20,20.0,32928.0
2020-12-20,21.0,33668.0
2020-12-20,22.0,34063.0
2020-12-20,23.0,34331.0
2020-12-20,24.0,34697.0
2020-12-20,25.0,35238.0
2020-12-20,26.0,35769.0
2020-12-20,27.0,35864.0
2020-12-20,28.0,35716.0
2020-12-20,29.0,35809.0
2020-12-20,30.0,36223.0
2020-12-20,31.0,36984.0
2020-12-20,32.0,38429.0
2020-12-20,33.0,40371.0
2020-12-20,34.0,41353.0
2020-12-20,35.0,41083.0
2020-12-20,36.0,40170.0
2020-12-20,37.0,38875.0
2020-12-20,38.0,38084.0
2020-12-20,39.0,37286.0
2020-12-20,40.0,36020.0
2020-12-20,41.0,34731.0
2020-12-20,42.0,33419.0
2020-12-20,43.0,32091.0
2020-12-20,44.0,30685.0
2020-12-20,45.0,29578.0
2020-12-20,46.0,28341.0
2020-12-20,47.0,26872.0
2020-12-20,48.0,25970.0
2020-12-21,1.0,25269.0
2020-12-21,2.0,25368.0
2020-12-21,3.0,24919.0
2020-12-21,4.0,24349.0
2020-12-21,5.0,24019.0
2020-12-21,6.0,23822.0
2020-12-21,7.0,23498.0
2020-12-21,8.0,23227.0
2020-12-21,9.0,23215.0
2020-12-21,10.0,23564.0
2020-12-21,11.0,24345.0
2020-12-21,12.0,26412.0
2020-12-21,13.0,29090.0
2020-12-21,14.0,31817.0
2020-12-21,15.0,34496.0
2020-12-21,16.0,36269.0
2020-12-21,17.0,37416.0
2020-12-21,18.0,38230.0
2020-12-21,19.0,38782.0
2020-12-21,20.0,39232.0
2020-12-21,21.0,39526.0
2020-12-21,22.0,39839.0
2020-12-21,23.0,40303.0
2020-12-21,24.0,40639.0
2020-12-21,25.0,40834.0
2020-12-21,26.0,40699.0
2020-12-21,27.0,40360.0
2020-12-21,28.0,40037.0
2020-12-21,29.0,39663.0
2020-12-21,30.0,39448.0
2020-12-21,31.0,39710.0
2020-12-21,32.0,40825.0
2020-12-21,33.0,42686.0
2020-12-21,34.0,43831.0
2020-12-21,35.0,44006.0
2020-12-21,36.0,43543.0
2020-12-21,37.0,42635.0
2020-12-21,38.0,41577.0
2020-12-21,39.0,40103.0
2020-12-21,40.0,38563.0
2020-12-21,41.0,37025.0
2020-12-21,42.0,35630.0
2020-12-21,43.0,34132.0
2020-12-21,44.0,32282.0
2020-12-21,45.0,30565.0
2020-12-21,46.0,28688.0
2020-12-21,47.0,26981.0
2020-12-21,48.0,26021.0
2020-12-22,1.0,25802.0
2020-12-22,2.0,25870.0
2020-12-22,3.0,25539.0
2020-12-22,4.0,25025.0
2020-12-22,5.0,24538.0
2020-12-22,6.0,24165.0
2020-12-22,7.0,23782.0
