settlementDate,settlementPeriod,Generation forecast Production
2020-12-20,1.0,
2020-12-20,2.0,
2020-12-20,3.0,24697.0
2020-12-20,4.0,24499.0
2020-12-20,5.0,24337.0
2020-12-20,6.0,24194.0
2020-12-20,7.0,24026.0
2020-12-20,8.0,23841.0
2020-12-20,9.0,23755.0
2020-12-20,10.0,23594.0
2020-12-20,11.0,23633.0
2020-12-20,12.0,23670.0
2020-12-20,13.0,23719.0
2020-12-20,14.0,23765.0
2020-12-20,15.0,24067.0
2020-12-20,16.0,24242.0
2020-12-20,17.0,24471.0
2020-12-20,18.0,24918.0
2020-12-20,19.0,26686.0
2020-12-20,20.0,28495.0
2020-12-20,21.0,29624.0
2020-12-20,22.0,30615.0
2020-12-20,23.0,31233.0
2020-12-20,24.0,31610.0
2020-12-20,25.0,31973.0
2020-12-20,26.0,32064.0
2020-12-20,27.0,32063.0
2020-12-20,28.0,32024.0
2020-12-20,29.0,32321.0
2020-12-20,30.0,33276.0
2020-12-20,31.0,33830.0
2020-12-20,32.0,34636.0
2020-12-20,33.0,35741.0
2020-12-20,34.0,36239.0
2020-12-20,35.0,36648.0
2020-12-20,36.0,37165.0
2020-12-20,37.0,36971.0
2020-12-20,38.0,36737.0
2020-12-20,39.0,35863.0
2020-12-20,40.0,34559.0
2020-12-20,41.0,33778.0
2020-12-20,42.0,32946.0
2020-12-20,43.0,31235.0
2020-12-20,44.0,29703.0
2020-12-20,45.0,28776.0
2020-12-20,46.0,27843.0
2020-12-20,47.0,27068.0
2020-12-20,48.0,26298.0
2020-12-21,1.0,23925.0
2020-12-21,2.0,23585.0
2020-12-21,3.0,23251.0
2020-12-21,4.0,22939.0
2020-12-21,5.0,22671.0
2020-12-21,6.0,22448.0
2020-12-21,7.0,22288.0
2020-12-21,8.0,22266.0
2020-12-21,9.0,22429.0
2020-12-21,10.0,22618.0
2020-12-21,11.0,23003.0
2020-12-21,12.0,24110.0
2020-12-21,13.0,26184.0
2020-12-21,14.0,30178.0
2020-12-21,15.0,34517.0
2020-12-21,16.0,35490.0
2020-12-21,17.0,36490.0
2020-12-21,18.0,37124.0
2020-12-21,19.0,37806.0
2020-12-21,20.0,38178.0
2020-12-21,21.0,38601.0
2020-12-21,22.0,39169.0
2020-12-21,23.0,39245.0
2020-12-21,24.0,39073.0
2020-12-21,25.0,38854.0
2020-12-21,26.0,38738.0
