settlementDate,settlementPeriod,Solar generation,Wind Offshore generation,Wind Onshore generation
2020-12-20,1.0,0.0,9020.59,7365.717
2020-12-20,2.0,0.0,9020.59,7365.717
2020-12-20,3.0,0.0,8871.388,7352.576
2020-12-20,4.0,0.0,8871.388,7352.576
2020-12-20,5.0,0.0,8670.041,7312.832
2020-12-20,6.0,0.0,8670.041,7312.832
2020-12-20,7.0,0.0,8444.078,7213.302
2020-12-20,8.0,0.0,8444.078,7213.302
2020-12-20,9.0,0.0,8256.35,7067.371
2020-12-20,10.0,0.0,8256.35,7067.371
2020-12-20,11.0,0.0,8134.021,6858.311
2020-12-20,12.0,0.0,8134.021,6858.311
2020-12-20,13.0,0.0,7930.232,6668.929
2020-12-20,14.0,0.0,7930.232,6668.929
2020-12-20,15.0,0.0,7929.816,6489.118
2020-12-20,16.0,0.0,7929.816,6489.118
2020-12-20,17.0,96.0,7947.896,6377.242
2020-12-20,18.0,320.0,7947.896,6377.242
2020-12-20,19.0,678.0,7950.213,6313.649
2020-12-20,20.0,1074.0,7950.213,6313.649
2020-12-20,21.0,1406.0,8032.853,6374.85
2020-12-20,22.0,1653.0,8032.853,6374.85
2020-12-20,23.0,1812.0,8062.573,6536.897
2020-12-20,24.0,1887.0,8062.573,6536.897
2020-12-20,25.0,1881.0,8166.012,6637.592
2020-12-20,26.0,1772.0,8166.012,6637.592
2020-12-20,27.0,1547.0,8057.49,6705.495
2020-12-20,28.0,1242.0,8057.49,6705.495
2020-12-20,29.0,898.0,8055.529,6705.91
2020-12-20,30.0,549.0,8055.529,6705.91
2020-12-20,31.0,231.0,8044.439,6656.351
2020-12-20,32.0,21.0,8044.439,6656.351
2020-12-20,33.0,0.0,7938.459,6567.85
2020-12-20,34.0,0.0,7938.459,6567.85
2020-12-20,35.0,0.0,7916.931,6604.882
2020-12-20,36.0,0.0,7916.931,6604.882
2020-12-20,37.0,0.0,7754.383,6714.257
2020-12-20,38.0,0.0,7754.383,6714.257
2020-12-20,39.0,0.0,7602.237,6616.538
2020-12-20,40.0,0.0,7602.237,6616.538
2020-12-20,41.0,0.0,7199.577,6487.83
2020-12-20,42.0,0.0,7199.577,6487.83
2020-12-20,43.0,0.0,6896.642,6306.65
2020-12-20,44.0,0.0,6896.642,6306.65
2020-12-20,45.0,0.0,6532.696,6028.033
2020-12-20,46.0,0.0,6532.696,6028.033
2020-12-20,47.0,0.0,6070.564,5658.96
2020-12-20,48.0,0.0,6070.564,5658.96
2020-12-21,1.0,0.0,5893.305,5918.616
2020-12-21,2.0,0.0,5893.305,5918.616
2020-12-21,3.0,0.0,5648.138,5485.981
2020-12-21,4.0,0.0,5648.138,5485.981
2020-12-21,5.0,0.0,5489.15,5045.933
2020-12-21,6.0,0.0,5489.15,5045.933
2020-12-21,7.0,0.0,5550.99,4609.94
2020-12-21,8.0,0.0,5550.99,4609.94
2020-12-21,9.0,0.0,6005.81,4333.568
2020-12-21,10.0,0.0,6005.81,4333.568
2020-12-21,11.0,0.0,6459.914,4022.157
2020-12-21,12.0,0.0,6459.914,4022.157
2020-12-21,13.0,0.0,6964.294,3836.435
