recordType,marketIndexDataProviderId,settlementDate,settlementPeriod,marketIndexPrice,marketIndexVolume,activeFlag
MID,APXMIDP,2020-12-20,1,20.65,894.75,True
MID,APXMIDP,2020-12-20,2,25.34,672.75,True
MID,APXMIDP,2020-12-20,3,35.97,565.95,True
MID,APXMIDP,2020-12-20,4,38.93,794.25,True
MID,APXMIDP,2020-12-20,5,39.03,685.45,True
MID,APXMIDP,2020-12-20,6,27.11,734.15,True
MID,APXMIDP,2020-12-20,7,35.19,588.75,True
MID,APXMIDP,2020-12-20,8,31.82,725.25,True
MID,APXMIDP,2020-12-20,9,30.18,674.35,True
MID,APXMIDP,2020-12-20,10,31.93,692.05,True
MID,APXMIDP,2020-12-20,11,34.65,711.3,True
MID,APXMIDP,2020-12-20,12,36.84,669.3,True
MID,APXMIDP,2020-12-20,13,33.73,648.9,True
MID,APXMIDP,2020-12-20,14,40.5,596.05,True
MID,APXMIDP,2020-12-20,15,44.63,553.6,True
MID,APXMIDP,2020-12-20,16,50.02,361.95,True
MID,APXMIDP,2020-12-20,17,41.54,974.3,True
MID,APXMIDP,2020-12-20,18,52.67,731.3,True
MID,APXMIDP,2020-12-20,19,53.37,875.95,True
MID,APXMIDP,2020-12-20,20,55.26,965.7,True
MID,APXMIDP,2020-12-20,21,55.12,1071.4,True
MID,APXMIDP,2020-12-20,22,55.31,1146.7,True
MID,APXMIDP,2020-12-20,23,54.09,1293.55,True
MID,APXMIDP,2020-12-20,24,51.0,1126.9,True
MID,APXMIDP,2020-12-20,25,53.82,1157.05,True
MID,APXMIDP,2020-12-20,26,50.33,1349.65,True
MID,APXMIDP,2020-12-20,27,54.38,1021.1,True
MID,APXMIDP,2020-12-20,28,56.19,1239.2,True
MID,APXMIDP,2020-12-20,29,55.65,1084.05,True
MID,APXMIDP,2020-12-20,30,49.46,1332.55,True
MID,APXMIDP,2020-12-20,31,54.3,1167.55,True
MID,APXMIDP,2020-12-20,32,53.96,1286.65,True
MID,APXMIDP,2020-12-20,33,61.14,1105.35,True
MID,APXMIDP,2020-12-20,34,66.21,1042.6,True
MID,APXMIDP,2020-12-20,35,73.68,1136.5,True
MID,APXMIDP,2020-12-20,36,72.8,1392.7,True
MID,APXMIDP,2020-12-20,37,69.87,1483.7,True
MID,APXMIDP,2020-12-20,38,62.9,1817.2,True
MID,APXMIDP,2020-12-20,39,60.33,1001.05,True
MID,APXMIDP,2020-12-20,40,61.56,1142.15,True
MID,APXMIDP,2020-12-20,41,48.53,913.5,True
MID,APXMIDP,2020-12-20,42,38.6,1284.25,True
MID,APXMIDP,2020-12-20,43,47.73,1491.3,True
MID,APXMIDP,2020-12-20,44,52.16,1077.55,True
MID,APXMIDP,2020-12-20,45,52.73,1318.1,True
MID,APXMIDP,2020-12-20,46,50.02,1529.3,True
MID,APXMIDP,2020-12-20,47,46.76,713.4,True
MID,APXMIDP,2020-12-20,48,40.2,695.25,True
MID,APXMIDP,2020-12-21,1,42.01,490.15,True
MID,APXMIDP,2020-12-21,2,51.27,530.6,True
MID,APXMIDP,2020-12-21,3,53.24,759.65,True
MID,APXMIDP,2020-12-21,4,49.77,644.4,True
MID,APXMIDP,2020-12-21,5,53.08,893.25,True
MID,APXMIDP,2020-12-21,6,53.23,743.8,True
MID,APXMIDP,2020-12-21,7,54.99,630.8,True
MID,APXMIDP,2020-12-21,8,55.63,711.8,True
MID,APXMIDP,2020-12-21,9,56.07,834.9,True
MID,APXMIDP,2020-12-21,10,56.71,827.25,True
MID,APXMIDP,2020-12-21,11,57.25,945.95,True
MID,APXMIDP,2020-12-21,12,57.2,741.5,True
MID,APXMIDP,2020-12-21,13,56.03,1122.1,True
MID,APXMIDP,2020-12-21,14,45.18,1558.3,True
MID,APXMIDP,2020-12-21,15,50.84,1875.5,True
MID,APXMIDP,2020-12-21,16,51.87,1221.9,True
MID,APXMIDP,2020-12-21,17,47.6,1121.0,True
MID,APXMIDP,2020-12-21,18,42.31,1441.5,True
MID,APXMIDP,2020-12-21,19,45.82,1507.1,True
MID,APXMIDP,2020-12-21,20,50.07,1295.8,True
MID,APXMIDP,2020-12-21,21,47.93,1162.8,True
MID,APXMIDP,2020-12-21,22,46.01,1345.25,True
MID,APXMIDP,2020-12-21,23,53.47,943.15,True
MID,APXMIDP,2020-12-21,24,56.6,846.5,True
MID,APXMIDP,2020-12-21,25,57.63,937.2,True
MID,APXMIDP,2020-12-21,26,58.61,975.55,True
MID,APXMIDP,2020-12-21,27,59.74,717.25,True
MID,APXMIDP,2020-12-21,28,61.04,938.75,True
MID,APXMIDP,2020-12-21,29,60.44,946.95,True
MID,APXMIDP,2020-12-21,30,60.03,1169.0,True
MID,APXMIDP,2020-12-21,31,68.51,1602.75,True
MID,APXMIDP,2020-12-21,32,70.3,1431.25,True
MID,APXMIDP,2020-12-21,33,71.2,1733.8,True
MID,APXMIDP,2020-12-21,34,74.99,1596.05,True
MID,APXMIDP,2020-12-21,35,73.74,1983.25,True
MID,APXMIDP,2020-12-21,36,70.03,2273.15,True
MID,APXMIDP,2020-12-21,37,65.57,2459.05,True
MID,APXMIDP,2020-12-21,38,65.79,2075.65,True
MID,APXMIDP,2020-12-21,39,58.68,2341.25,True
MID,APXMIDP,2020-12-21,40,63.3,1630.0,True
MID,APXMIDP,2020-12-21,41,57.98,1405.35,True
MID,APXMIDP,2020-12-21,42,52.75,1534.05,True
MID,APXMIDP,2020-12-21,43,49.66,1821.0,True
MID,APXMIDP,2020-12-21,44,44.86,1875.85,True
MID,APXMIDP,2020-12-21,45,42.44,2100.8,True
MID,APXMIDP,2020-12-21,46,37.18,2653.15,True
MID,APXMIDP,2020-12-21,47,22.03,1156.9,True
MID,APXMIDP,2020-12-21,48,23.83,1069.2,True
MID,APXMIDP,2020-12-22,1,18.57,1118.95,True
MID,APXMIDP,2020-12-22,2,17.91,1039.7,True
MID,APXMIDP,2020-12-22,3,15.96,931.25,True
MID,APXMIDP,2020-12-22,4,15.56,1107.2,True
MID,APXMIDP,2020-12-22,5,14.01,782.5,True
MID,APXMIDP,2020-12-22,6,11.45,729.45,True
MID,APXMIDP,2020-12-22,7,10.84,883.35,True
MID,APXMIDP,2020-12-22,8,14.84,890.05,True
MID,APXMIDP,2020-12-22,9,14.59,989.25,True
MID,APXMIDP,2020-12-22,10,12.87,1025.3,True
MID,APXMIDP,2020-12-22,11,17.67,1345.65,True
MID,APXMIDP,2020-12-22,12,21.36,916.05,True
MID,APXMIDP,2020-12-22,13,26.91,1239.9,True
MID,APXMIDP,2020-12-22,14,27.23,1463.75,True
MID,APXMIDP,2020-12-22,15,27.55,1028.15,True
MID,APXMIDP,2020-12-22,16,30.78,944.9,True
MID,APXMIDP,2020-12-22,17,27.66,950.9,True
MID,APXMIDP,2020-12-22,18,27.53,1010.45,True
MID,APXMIDP,2020-12-22,19,46.42,1357.9,True
MID,APXMIDP,2020-12-22,20,47.89,1337.4,True
MID,APXMIDP,2020-12-22,21,49.35,1259.75,True
MID,APXMIDP,2020-12-22,22,47.36,1510.6,True
MID,APXMIDP,2020-12-22,23,41.72,1685.65,True
MID,APXMIDP,2020-12-22,24,39.74,1767.85,True
MID,APXMIDP,2020-12-22,25,49.74,1965.15,True
MID,APXMIDP,2020-12-22,26,51.04,2177.15,True
MID,APXMIDP,2020-12-22,27,50.84,1861.8,True
MID,APXMIDP,2020-12-22,28,48.26,1729.8,True
MID,APXMIDP,2020-12-22,29,47.83,1863.4,True
MID,APXMIDP,2020-12-22,30,48.39,1824.35,True
MID,APXMIDP,2020-12-22,31,59.87,1176.95,True
MID,APXMIDP,2020-12-22,32,63.52,1338.3,True
MID,APXMIDP,2020-12-22,33,65.02,1843.4,True
MID,APXMIDP,2020-12-22,34,67.13,1291.55,True
MID,APXMIDP,2020-12-22,35,73.99,1439.1,True
MID,APXMIDP,2020-12-22,36,72.6,1482.45,True
MID,APXMIDP,2020-12-22,37,67.88,1357.95,True
MID,APXMIDP,2020-12-22,38,67.64,1382.65,True
MID,APXMIDP,2020-12-22,39,60.68,1064.2,True
MID,APXMIDP,2020-12-22,40,60.81,1149.85,True
MID,APXMIDP,2020-12-22,41,58.63,923.2,True
MID,APXMIDP,2020-12-22,42,55.1,910.35,True
MID,APXMIDP,2020-12-22,43,54.12,1436.55,True
MID,APXMIDP,2020-12-22,44,50.26,643.85,True
MID,APXMIDP,2020-12-22,45,49.5,896.15,True
MID,APXMIDP,2020-12-22,46,51.29,732.1,True
MID,APXMIDP,2020-12-22,47,57.67,1191.45,True
MID,APXMIDP,2020-12-22,48,58.36,1121.1,True
MID,APXMIDP,2020-12-23,1,54.41,888.4,True
MID,APXMIDP,2020-12-23,2,57.47,990.75,True
MID,APXMIDP,2020-12-23,3,53.5,733.8,True
MID,APXMIDP,2020-12-23,4,55.36,862.65,True
MID,APXMIDP,2020-12-23,5,56.51,630.35,True
MID,APXMIDP,2020-12-23,6,55.65,691.55,True
MID,APXMIDP,2020-12-23,7,59.47,435.85,True
MID,APXMIDP,2020-12-23,8,54.11,662.0,True
MID,APXMIDP,2020-12-23,9,52.41,405.35,True
MID,APXMIDP,2020-12-23,10,47.24,492.8,True
MID,APXMIDP,2020-12-23,11,49.23,363.5,True
MID,APXMIDP,2020-12-23,12,49.36,455.55,True
MID,APXMIDP,2020-12-23,13,49.63,699.5,True
MID,APXMIDP,2020-12-23,14,53.96,742.45,True
MID,APXMIDP,2020-12-23,15,50.19,799.75,True
MID,APXMIDP,2020-12-23,16,49.82,869.25,True
MID,APXMIDP,2020-12-23,17,50.86,1075.8,True
MID,APXMIDP,2020-12-23,18,51.89,1538.55,True
MID,APXMIDP,2020-12-23,19,58.67,1380.6,True
MID,APXMIDP,2020-12-23,20,59.19,1497.9,True
MID,APXMIDP,2020-12-23,21,59.83,1808.55,True
MID,APXMIDP,2020-12-23,22,60.22,1925.7,True
MID,APXMIDP,2020-12-23,23,57.01,1251.45,True
MID,APXMIDP,2020-12-23,24,56.24,1218.75,True
MID,APXMIDP,2020-12-23,25,56.47,1228.25,True
MID,APXMIDP,2020-12-23,26,55.26,1296.05,True
MID,APXMIDP,2020-12-23,27,50.01,1282.8,True
MID,APXMIDP,2020-12-23,28,45.54,1522.3,True
MID,APXMIDP,2020-12-23,29,49.55,1494.3,True
MID,APXMIDP,2020-12-23,30,53.15,1669.9,True
MID,APXMIDP,2020-12-23,31,45.6,1254.15,True
MID,APXMIDP,2020-12-23,32,40.9,1438.0,True
MID,APXMIDP,2020-12-23,33,46.41,1194.15,True
MID,APXMIDP,2020-12-23,34,48.28,1314.8,True
MID,APXMIDP,2020-12-23,35,49.32,1176.25,True
MID,APXMIDP,2020-12-23,36,45.77,1354.95,True
MID,APXMIDP,2020-12-23,37,47.97,1613.6,True
MID,APXMIDP,2020-12-23,38,47.62,1649.05,True
MID,APXMIDP,2020-12-23,39,49.18,1691.35,True
MID,APXMIDP,2020-12-23,40,50.53,1449.55,True
MID,APXMIDP,2020-12-23,41,49.62,1362.5,True
MID,APXMIDP,2020-12-23,42,51.09,1172.9,True
MID,APXMIDP,2020-12-23,43,53.9,914.2,True
MID,APXMIDP,2020-12-23,44,53.14,971.2,True
MID,APXMIDP,2020-12-23,45,50.61,1244.4,True
MID,APXMIDP,2020-12-23,46,49.77,1544.0,True
MID,APXMIDP,2020-12-23,47,50.87,1541.95,True
MID,APXMIDP,2020-12-23,48,49.72,1107.95,True
MID,APXMIDP,2020-12-24,1,48.58,997.45,True
MID,APXMIDP,2020-12-24,2,50.18,937.6,True
MID,APXMIDP,2020-12-24,3,45.77,673.6,True
MID,APXMIDP,2020-12-24,4,36.2,758.6,True
MID,APXMIDP,2020-12-24,5,15.57,671.75,True
MID,APXMIDP,2020-12-24,6,9.48,952.25,True
MID,APXMIDP,2020-12-24,7,1.41,1030.65,True
MID,APXMIDP,2020-12-24,8,0.73,993.85,True
MID,APXMIDP,2020-12-24,9,1.62,1023.75,True
MID,APXMIDP,2020-12-24,10,1.7,1019.95,True
MID,APXMIDP,2020-12-24,11,4.8,904.4,True
MID,APXMIDP,2020-12-24,12,6.17,803.7,True
MID,APXMIDP,2020-12-24,13,15.38,950.4,True
MID,APXMIDP,2020-12-24,14,22.18,971.9,True
MID,APXMIDP,2020-12-24,15,51.83,928.0,True
MID,APXMIDP,2020-12-24,16,55.97,848.3,True
MID,APXMIDP,2020-12-24,17,32.44,518.0,True
MID,APXMIDP,2020-12-24,18,32.33,718.45,True
MID,APXMIDP,2020-12-24,19,49.29,1002.2,True
MID,APXMIDP,2020-12-24,20,53.16,1126.3,True
MID,APXMIDP,2020-12-24,21,55.31,924.2,True
MID,APXMIDP,2020-12-24,22,56.47,1096.6,True
MID,APXMIDP,2020-12-24,23,56.08,921.9,True
MID,APXMIDP,2020-12-24,24,57.34,936.15,True
MID,APXMIDP,2020-12-24,25,60.69,1124.2,True
MID,APXMIDP,2020-12-24,26,60.61,1173.6,True
MID,APXMIDP,2020-12-24,27,58.52,965.1,True
MID,APXMIDP,2020-12-24,28,58.49,925.6,True
MID,APXMIDP,2020-12-24,29,58.88,1096.5,True
MID,APXMIDP,2020-12-24,30,56.55,1116.75,True
MID,APXMIDP,2020-12-24,31,63.37,1169.0,True
MID,APXMIDP,2020-12-24,32,63.91,1233.9,True
MID,APXMIDP,2020-12-24,33,62.59,1473.8,True
MID,APXMIDP,2020-12-24,34,67.99,1355.85,True
MID,APXMIDP,2020-12-24,35,68.04,1340.4,True
MID,APXMIDP,2020-12-24,36,68.96,1525.05,True
MID,APXMIDP,2020-12-24,37,68.24,1427.95,True
MID,APXMIDP,2020-12-24,38,66.89,1737.6,True
MID,APXMIDP,2020-12-24,39,64.36,1280.15,True
MID,APXMIDP,2020-12-24,40,62.72,1274.2,True
MID,APXMIDP,2020-12-24,41,60.1,946.2,True
MID,APXMIDP,2020-12-24,42,61.34,935.1,True
