"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"27.02.2023","51,05","51,05","51,05","51,05","","-1,26%"
"24.02.2023","51,70","51,70","51,70","51,70","","-0,19%"
"23.02.2023","51,80","51,80","51,80","51,80","","0,00%"
"22.02.2023","51,80","51,80","51,80","51,80","","0,00%"
"21.02.2023","51,80","51,80","51,80","51,80","","0,00%"
"17.02.2023","51,80","51,80","51,80","51,80","","0,39%"
"16.02.2023","51,60","51,60","51,60","51,60","","1,08%"
"15.02.2023","51,05","51,05","51,05","51,05","","0,49%"
"14.02.2023","50,80","50,80","50,80","50,80","","0,40%"
"13.02.2023","50,60","50,60","50,60","50,60","","0,10%"
"10.02.2023","50,55","50,55","50,55","50,55","","0,20%"
"09.02.2023","50,45","50,45","50,45","50,45","","-0,20%"
"08.02.2023","50,55","50,55","50,55","50,55","","-0,39%"
"07.02.2023","50,75","50,75","50,75","50,75","","-0,39%"
"06.02.2023","50,95","50,95","50,95","50,95","","-0,59%"
"03.02.2023","51,25","51,25","51,25","51,25","","0,00%"
"02.02.2023","51,25","51,25","51,25","51,25","","0,79%"
"01.02.2023","50,85","50,85","50,85","50,85","","0,00%"
"31.01.2023","50,85","50,85","50,85","50,85","","0,00%"
"30.01.2023","50,85","50,85","50,85","50,85","","0,30%"
"27.01.2023","50,70","50,70","50,70","50,70","","0,70%"
"26.01.2023","50,35","50,35","50,35","50,35","","2,34%"
"25.01.2023","49,20","49,20","49,20","49,20","","0,20%"
"24.01.2023","49,10","49,10","49,10","49,10","","0,20%"
"23.01.2023","49,00","49,00","49,00","49,00","","0,20%"
"20.01.2023","48,90","48,90","48,90","48,90","","-0,10%"
"19.01.2023","48,95","48,95","48,95","48,95","","-0,31%"
"18.01.2023","49,10","49,10","49,10","49,10","","-1,01%"
"17.01.2023","49,60","49,60","49,60","49,60","","-1,78%"
"13.01.2023","50,50","50,50","50,50","50,50","","0,00%"
"12.01.2023","50,50","50,50","50,50","50,50","","0,10%"
"11.01.2023","50,45","50,45","50,45","50,45","","0,20%"
"10.01.2023","50,35","50,35","50,35","50,35","","0,80%"
"09.01.2023","49,95","49,95","49,95","49,95","","1,94%"
"06.01.2023","49,00","49,00","49,00","49,00","","0,10%"
"05.01.2023","48,95","48,95","48,95","48,95","","0,00%"
"04.01.2023","48,95","48,95","48,95","48,95","","0,10%"
"03.01.2023","48,90","48,90","48,90","48,90","","-0,20%"
"30.12.2022","49,00","49,00","49,00","49,00","","0,00%"
"29.12.2022","49,00","49,00","49,00","49,00","","0,00%"
"28.12.2022","49,00","49,00","49,00","49,00","","0,00%"
"27.12.2022","49,00","49,00","49,00","49,00","","1,87%"
"23.12.2022","48,10","48,10","48,10","48,10","","0,00%"
"22.12.2022","48,10","48,10","48,10","48,10","","0,00%"
"21.12.2022","48,10","48,10","48,10","48,10","","0,00%"
"20.12.2022","48,10","48,10","48,10","48,10","","0,00%"
"19.12.2022","48,10","48,10","48,10","48,10","","-0,10%"
"16.12.2022","48,15","48,15","48,15","48,15","","0,00%"
"15.12.2022","48,15","48,15","48,15","48,15","","-0,41%"
"14.12.2022","48,35","48,35","48,35","48,35","","0,00%"
"13.12.2022","48,35","48,35","48,35","48,35","","-0,72%"
"12.12.2022","48,70","48,70","48,70","48,70","","0,00%"
"09.12.2022","48,70","48,70","48,70","48,70","","0,41%"
"08.12.2022","48,50","48,50","48,50","48,50","","0,73%"
"07.12.2022","48,15","48,15","48,15","48,15","","-0,31%"
"06.12.2022","48,30","48,30","48,30","48,30","","-0,10%"
"05.12.2022","48,35","48,35","48,35","48,35","","-1,73%"
"02.12.2022","49,20","49,20","49,20","49,20","","-1,20%"
"01.12.2022","49,80","49,80","49,80","49,80","","-0,30%"
"30.11.2022","49,95","49,95","49,95","49,95","","-0,79%"
"29.11.2022","50,35","50,35","50,35","50,35","","0,00%"
"28.11.2022","50,35","50,35","50,35","50,35","","0,00%"
"25.11.2022","50,35","50,35","50,35","50,35","","0,00%"
"23.11.2022","50,35","50,35","50,35","50,35","","-0,10%"
"22.11.2022","50,40","50,40","50,40","50,40","","-0,20%"
"21.11.2022","50,50","50,50","50,50","50,50","","-0,39%"
"18.11.2022","50,70","50,70","50,70","50,70","","0,00%"
"17.11.2022","50,70","50,70","50,70","50,70","","0,10%"
"16.11.2022","50,65","50,65","50,65","50,65","","0,10%"
"15.11.2022","50,60","50,60","50,60","50,60","","-0,30%"
"14.11.2022","50,75","50,75","50,75","50,75","","0,00%"
