"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"19.07.2023","132,00","131,00","131,00","131,00","0,02K","-1,75%"
"18.07.2023","134,35","134,35","134,35","134,35","0,01K","2,48%"
"17.07.2023","131,10","131,10","131,10","131,10","0,01K","-0,42%"
"14.07.2023","131,65","131,65","131,65","131,65","0,03K","2,85%"
"13.07.2023","128,00","128,00","128,00","128,00","0,02K","-0,81%"
"12.07.2023","129,05","129,05","129,05","129,05","","-1,49%"
"11.07.2023","131,00","131,00","131,00","131,00","0,01K","-2,02%"
"10.07.2023","133,70","133,70","133,70","133,70","","-3,12%"
"07.07.2023","138,00","138,00","138,00","138,00","","-1,18%"
"06.07.2023","139,65","140,00","140,00","140,00","","-3,56%"
"05.07.2023","144,80","144,80","144,80","144,80","0,03K","1,15%"
"04.07.2023","143,15","142,50","142,50","142,50","0,15K","-3,31%"
"03.07.2023","148,05","145,00","145,00","145,00","0,02K","15,62%"
"30.06.2023","128,05","128,05","128,05","128,05","","0,12%"
"29.06.2023","127,90","127,90","127,90","127,90","","0,00%"
"28.06.2023","127,90","127,90","127,90","127,90","","0,00%"
"27.06.2023","127,90","127,90","127,90","127,90","","1,91%"
"26.06.2023","125,50","125,50","125,50","125,50","","0,00%"
"23.06.2023","125,50","125,50","125,50","125,50","","-0,20%"
"22.06.2023","125,75","125,75","125,75","125,75","","1,29%"
"21.06.2023","124,15","124,15","124,15","124,15","0,01K","-1,90%"
"20.06.2023","126,55","126,55","126,55","126,55","0,02K","-1,40%"
"19.06.2023","128,35","128,35","128,35","128,35","","-0,08%"
"16.06.2023","128,45","128,45","128,45","128,45","0,03K","-5,52%"
"15.06.2023","135,95","135,95","135,95","135,95","","2,99%"
"14.06.2023","132,00","132,00","132,00","132,00","","-0,19%"
"13.06.2023","132,25","132,25","132,25","132,25","0,05K","-1,31%"
"12.06.2023","134,00","134,00","134,00","134,00","","-1,25%"
"09.06.2023","135,70","135,70","135,70","135,70","0,01K","-0,40%"
"08.06.2023","136,25","136,25","136,25","136,25","","0,18%"
"07.06.2023","136,00","136,00","136,00","136,00","","1,15%"
"06.06.2023","134,45","134,45","134,45","134,45","0,04K","-2,40%"
"05.06.2023","137,75","137,75","137,75","137,75","","5,15%"
"02.06.2023","131,00","131,00","131,00","131,00","0,02K","0,65%"
"01.06.2023","130,15","130,15","130,15","130,15","0,01K","-3,59%"
"31.05.2023","135,00","138,00","138,00","138,00","0,01K","-0,07%"
"30.05.2023","135,10","135,10","135,10","135,10","","-3,95%"
"29.05.2023","140,65","140,65","140,65","140,65","","-12,09%"
"26.05.2023","160,00","160,00","160,00","160,00","","0,00%"
"25.05.2023","160,00","160,00","160,00","160,00","","-0,16%"
"24.05.2023","160,25","160,25","160,25","160,25","0,00K","0,16%"
"23.05.2023","160,00","160,00","160,00","160,00","","-0,22%"
"22.05.2023","160,35","160,35","160,35","160,35","","-1,17%"
"19.05.2023","162,25","162,25","162,25","162,25","","1,82%"
"18.05.2023","159,35","159,35","159,35","159,35","0,03K","-3,57%"
"17.05.2023","165,25","165,25","165,25","165,25","0,01K","0,89%"
"16.05.2023","163,80","163,80","163,80","163,80","0,01K","0,03%"
