"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2023","26.963","27.155","28.130","25.590","","-0.40%"
"07/18/2023","27.070","26.000","27.495","25.265","1.76K","7.85%"
"07/17/2023","25.100","24.465","25.785","24.465","3.05K","-3.30%"
"07/14/2023","25.957","27.570","28.700","25.110","1.82K","-2.44%"
"07/13/2023","26.605","26.885","27.545","26.230","0.37K","-0.13%"
"07/12/2023","26.640","28.455","28.580","26.320","1.54K","-8.33%"
"07/11/2023","29.060","29.930","29.930","28.910","0.54K","-3.85%"
"07/10/2023","30.225","32.830","32.830","29.555","0.77K","-9.72%"
"07/07/2023","33.478","33.300","33.585","32.705","0.26K","3.49%"
"07/06/2023","32.350","33.240","33.240","32.300","1.41K","-5.89%"
"07/05/2023","34.375","33.825","36.110","33.805","0.30K","1.31%"
"07/03/2023","33.930","37.820","37.820","33.995","0.40K","-8.55%"
"06/30/2023","37.103","35.195","37.650","35.195","0.13K","5.47%"
"06/29/2023","35.180","32.300","33.050","32.300","0.04K","3.09%"
"06/28/2023","34.125","33.800","34.400","33.800","0.03K","-1.10%"
"06/27/2023","34.505","32.905","32.905","32.350","0.06K","7.91%"
"06/26/2023","31.975","34.305","34.305","34.155","0.08K","-1.64%"
"06/23/2023","32.507","32.640","33.000","32.385","0.27K","-4.66%"
"06/22/2023","34.095","36.900","36.935","34.055","0.53K","-7.21%"
"06/21/2023","36.745","36.800","38.960","36.770","2.09K","-5.08%"
"06/20/2023","38.710","32.650","39.350","31.880","0.31K","10.57%"
"06/16/2023","35.010","34.550","37.050","32.400","0.10K","-14.91%"
"06/15/2023","41.145","37.350","43.530","37.350","0.18K","7.40%"
"06/14/2023","38.310","34.125","40.055","34.125","0.19K","6.27%"
"06/13/2023","36.050","33.650","35.150","33.650","0.04K","16.16%"
"06/12/2023","31.035","31.605","32.045","29.400","0.20K","-3.17%"
"06/09/2023","32.050","27.150","33.015","27.150","0.28K","18.95%"
"06/08/2023","26.945","26.550","28.500","26.050","0.42K","2.34%"
"06/07/2023","26.330","25.350","26.990","25.200","0.74K","5.91%"
"06/06/2023","24.860","28.300","28.300","24.775","0.33K","-12.71%"
"06/05/2023","28.480","24.250","28.695","24.250","0.08K","20.22%"
"06/02/2023","23.690","23.750","23.845","23.125","0.30K","2.53%"
"06/01/2023","23.105","25.200","25.200","23.430","0.20K","-13.95%"
"05/31/2023","26.850","25.495","27.950","25.495","0.04K","8.79%"
"05/30/2023","24.681","24.681","24.681","24.681","","0.66%"
"05/26/2023","24.520","25.435","25.435","23.790","0.10K","-3.65%"
"05/25/2023","25.450","26.900","26.900","25.290","0.04K","-8.40%"
"05/24/2023","27.785","28.630","28.630","28.630","0.05K","-4.60%"
"05/23/2023","29.125","29.125","29.125","29.125","0.04K","-1.97%"
"05/22/2023","29.710","30.200","30.200","30.200","0.17K","-1.54%"
"05/19/2023","30.175","30.175","30.175","30.175","","1.31%"
"05/18/2023","29.785","29.985","29.985","29.975","0.09K","-6.79%"
"05/17/2023","31.955","32.600","32.600","32.175","0.15K","0.42%"
"05/16/2023","31.820","32.350","32.930","31.635","0.44K","-1.53%"
"05/15/2023","32.315","32.305","33.600","32.000","0.28K","-1.37%"
"05/12/2023","32.765","33.950","33.950","32.350","0.43K","-6.37%"
"05/11/2023","34.995","34.900","35.160","34.670","0.43K","0.00%"
"05/10/2023","34.995","35.700","36.000","34.740","0.21K","-2.66%"
"05/09/2023","35.950","36.625","36.910","35.800","0.26K","-2.51%"
"05/08/2023","36.875","36.850","37.250","36.850","0.03K","0.82%"
"05/05/2023","36.575","35.925","36.790","35.925","0.34K","2.58%"
"05/04/2023","35.655","36.950","36.950","35.700","0.45K","-3.06%"
"05/03/2023","36.780","37.495","37.495","36.400","0.41K","-2.00%"
"05/02/2023","37.530","37.860","38.050","37.275","0.24K","-3.36%"
"05/01/2023","38.835","38.835","38.835","38.835","0.01K","0.77%"
"04/28/2023","38.540","39.800","39.800","38.300","0.00K","-1.28%"
"04/27/2023","39.039","39.039","39.039","39.039","0.02K","1.27%"
"04/26/2023","38.550","38.550","38.550","38.550","","-3.23%"
"04/25/2023","39.835","39.835","39.835","39.835","","-0.23%"
"04/24/2023","39.925","39.925","39.925","39.925","","-0.60%"
"04/21/2023","40.165","40.650","41.150","39.950","0.03K","-0.99%"
"04/20/2023","40.565","40.400","41.020","40.400","0.33K","0.66%"
