BMU Type,BMU ID,BMU Fuel Type,BMU GSP Group Id,LOC LAT,LOC LONG,BMU Party ID,Trading Unit,PC Flag,PC Status,Transmission Loss Factor,Generation Capacity,Demand Capacity,Exempt Export Flag,Base TU Flag,FPN Flag
E,E_GYAR-1,CCGT,_A,52.5838344213574,1.73372501148655,RWE Generation UK plc,Non-TrUnit,Dynamic,Production (P),0.0092874,420.0,-18.0,0,0,1
E,E_KLYN-A-1,CCGT,_A,52.727436143614,0.380418831998219,RWE Generation UK plc,Non-TrUnit,Dynamic,Production (P),0.0092874,392.0,-10.0,0,0,1
E,E_PETEM1,OCGT,_A,52.5768348012371,-0.20415020370112,River Nene Power Limited,Non-TrUnit,Dynamic,Production (P),0.0092874,245.0,-5.0,0,0,1
T,T_COSO-1,CCGT,_A,51.5127966832189,0.505549713479077,Coryton Energy Company Ltd,Coryton LG Trading Unit,Dynamic,Production (P),0.0092874,800.0,-11.664,0,0,1
T,T_LBAR-1,CCGT,_A,52.2036040717861,-0.269046492522978,RWE Generation UK plc,Non-TrUnit,Dynamic,Production (P),0.0092874,750.0,-20.0,0,0,1
T,T_RYHPS-1,CCGT,_A,51.7617925200627,0.00889776411344686,VPI Power Limited,Non-TrUnit,Dynamic,Production (P),0.0092874,720.98,-15.0,0,0,1
T,T_LBAR-1G,OCGT,_A,52.2036040717861,-0.269046492522978,RWE Generation UK plc,Non-TrUnit,Dynamic,Production (P),0.0092874,25.0,0.0,0,0,1
T,T_GRGBW-1,WIND,_A,51.9015963724718,1.91735626954258,Greater Gabbard Offshore Winds,Non-TrUnit,Dynamic,Production (P),0.0092874,240.0,-5.0,0,0,1
T,T_GNFSW-1,WIND,_A,51.7438684619246,1.16999372757417,Gunfleet Sands Limited,Non-TrUnit,Production (P),Production (P),0.0092874,108.0,-2.0,1,0,1
T,T_GNFSW-2,WIND,_A,51.7438684619246,1.16999372757417,Gunfleet Sands II Limited,Non-TrUnit,Production (P),Production (P),0.0092874,64.48,-1.0,1,0,1
T,T_GRGBW-2,WIND,_A,51.9015963724718,1.91735626954258,Greater Gabbard Offshore Winds,Non-TrUnit,Dynamic,Production (P),0.0092874,240.0,-5.0,0,0,1
T,T_GRGBW-3,WIND,_A,51.9015963724718,1.91735626954258,Greater Gabbard Offshore Winds,Non-TrUnit,Dynamic,Production (P),0.0092874,240.0,-5.0,0,0,1
E,E_LCHWT-1,OTHER,_A,51.9798307583823,-0.221268509927489,Conrad Energy (Trading),DEFAULT__A,Consumption (C),Consumption (C),0.0092874,15.0,-1.0,1,1,1
T,T_GANW-11,WIND,_A,51.89,2.04,Galloper Offshore WindFarm Ltd,Non-TrUnit,Dynamic,Production (P),0.0092874,88.0,-3.0,0,0,1
T,T_GANW-13,WIND,_A,51.89,2.04,Galloper Offshore WindFarm Ltd,Non-TrUnit,Dynamic,Production (P),0.0092874,88.0,-3.0,0,0,1
T,T_GANW-22,WIND,_A,51.89,2.04,Galloper Offshore WindFarm Ltd,Non-TrUnit,Dynamic,Production (P),0.0092874,88.0,-3.0,0,0,1
T,T_GANW-24,WIND,_A,51.89,2.04,Galloper Offshore WindFarm Ltd,Non-TrUnit,Dynamic,Production (P),0.0092874,88.0,-3.0,0,0,1
2,2__AFLEX001,OTHER,_A,52.2266494264837,0.519993469781233,Flexitricity Limited,DEFAULT__A,Dynamic,Consumption (C),0.0075366,49.0,0.0,0,1,1
T,T_EAAO-1,WIND,_A,52.1563184951843,2.24162232413838,East Anglia One Limited,Non-TrUnit,Dynamic,Production (P),0.0092874,358.0,-6.6,0,0,1
T,T_EAAO-2,WIND,_A,52.1563184951843,2.24162232413838,East Anglia One Limited,Non-TrUnit,Dynamic,Production (P),0.0092874,340.0,-7.5,0,0,1
2,2__ALOND001,OTHER,_A,52.2266494264837,0.519993469781233,EDF Energy Customers Ltd,DEFAULT__A,Dynamic,Consumption (C),0.0075366,5.0,-4.4,0,1,1
2,2__ACNDL001,OCGT,_A,52.5767579581284,-0.20409261418466,NEAS Energy Ltd.,DEFAULT__A,Dynamic,Consumption (C),0.0092874,49.0,0.0,0,1,1
2,2__ALOND002,BATTERY,_A,52.2266494264837,0.519993469781233,EDF Energy Customers Ltd,DEFAULT__A,Dynamic,Consumption (C),0.0092874,0.0,0.0,0,1,1
2,2__AFLEX003,OTHER,_A,52.2266494264837,0.519993469781233,Flexitricity Limited,DEFAULT__A,Dynamic,Consumption (C),0.0092874,49.0,0.0,0,1,1
2,2__AFLEX004,OTHER,_A,52.2266494264837,0.519993469781233,Flexitricity Limited,DEFAULT__A,Dynamic,Consumption (C),0.0092874,49.0,0.0,0,1,1
2,2__AFLEX005,OTHER,_A,52.2266494264837,0.519993469781233,Flexitricity Limited,DEFAULT__A,Dynamic,Consumption (C),0.0092874,49.0,0.0,0,1,1
2,2__ASTAT003,OTHER,_A,53.7465528126879,-0.232329251642476,Statkraft Markets Gmbh,DEFAULT__A,Dynamic,Consumption (C),0.0092874,42.0,-4.0,0,1,1
2,2__ASTAT005,BATTERY,_A,53.7465528126879,-0.232329251642476,Statkraft Markets Gmbh,DEFAULT__A,Dynamic,Consumption (C),0.0092874,50.0,-52.0,0,1,1
E,E_ARNKB-2,BATTERY,_A,51.64079,0.357959,Flexitricity Limited,DEFAULT__A,Consumption (C),Consumption (C),0.0075366,49.0,0.0,1,1,1
E,E_BURWB-1,BATTERY,_A,52.278583,0.316446,SMS Energy Services Limited,DEFAULT__A,Consumption (C),Consumption (C),0.0075366,50.0,-50.0,1,1,1
E,E_CORB-1,CCGT,_B,52.5108277578638,-0.681500396652755,CORBY POWER LIMITED,Non-TrUnit,Dynamic,Production (P),0.0034544,360.0,-0.1,0,0,1
T,T_CDCL-1,CCGT,_B,53.3074211943206,-0.786058128515521,Uniper UK Limited,Non-TrUnit,Dynamic,Production (P),0.0034544,445.0,-12.0,0,0,1
T,T_RATS-1,COAL,_B,52.8653934255646,-1.25501580272918,Uniper UK Limited,Ratcliffe PS Trading Unit,Dynamic,Production (P),0.0100104,504.0,-16.0,0,0,1
T,T_RATS-2,COAL,_B,52.8653934255646,-1.25501580272918,Uniper UK Limited,Ratcliffe PS Trading Unit,Dynamic,Production (P),0.0034544,504.0,-16.0,0,0,1
T,T_RATS-3,COAL,_B,52.8653934255646,-1.25501580272918,Uniper UK Limited,Ratcliffe PS Trading Unit,Dynamic,Production (P),0.0034544,504.0,-16.0,0,0,1
T,T_RATS-4,COAL,_B,52.8653934255646,-1.25501580272918,Uniper UK Limited,Ratcliffe PS Trading Unit,Dynamic,Production (P),0.0034544,504.0,-16.0,0,0,1
T,T_RATSGT-2,OCGT,_B,52.8653934255646,-1.25501580272918,Uniper UK Limited,Ratcliffe PS Trading Unit,Dynamic,Production (P),0.0034544,18.0,0.0,0,0,1
