settlementDate,settlementPeriod,acceptedprice
2021-01-05,24,51.0
2021-01-05,25,51.0
2021-01-05,28,51.0
2021-01-06,44,0.64
2021-01-06,45,-1.2200000000000002
2021-01-07,14,0.79
2021-01-11,1,-3.65
2021-01-11,14,-7.0
2021-01-11,28,0.35
2021-01-11,37,24.0
2021-01-11,38,46.9
2021-01-11,39,1.6499999999999997
2021-01-12,23,50.0
2021-01-12,37,50.2
2021-01-12,38,51.650000000000006
2021-01-12,39,48.725
2021-01-12,40,47.825
2021-01-13,19,26.346666666666668
2021-01-13,23,48.86
2021-01-13,24,55.0
2021-01-13,25,55.0
2021-01-13,28,55.0
2021-01-13,31,60.0
2021-01-13,35,60.0
2021-01-13,36,55.66
2021-01-13,37,53.81
2021-01-13,42,32.0
2021-01-13,48,24.595
2021-01-14,1,24.4275
2021-01-14,2,45.765
2021-01-14,11,9.97
2021-01-14,12,24.046666666666667
2021-01-14,13,24.013333333333332
2021-01-14,38,52.15
2021-01-14,39,52.15
2021-01-14,40,52.15
2021-01-15,3,0.6966666666666667
2021-01-15,4,9.043333333333335
2021-01-15,5,22.67
2021-01-15,7,71.0
2021-01-15,12,5.19
2021-01-15,13,7.18
2021-01-15,14,82.96
2021-01-15,17,36.36000000000001
2021-01-15,32,29.884999999999998
2021-01-15,33,55.25
2021-01-15,38,11.065
2021-01-15,42,9.815
2021-01-15,43,9.605
2021-01-18,23,31.0
2021-01-18,24,31.0
2021-01-18,25,31.0
2021-01-18,26,31.0
2021-01-18,27,26.0
2021-01-21,24,35.0
2021-01-25,45,0.74
2021-01-25,46,-0.15
2021-01-25,47,4.01
2021-01-26,2,0.06
2021-01-26,3,-3.64
2021-01-26,28,46.2
2021-01-26,40,52.57
2021-01-26,41,12.0
2021-01-26,43,1.69
2021-01-26,44,2.15
2021-01-26,48,13.65
2021-01-27,1,14.82
2021-01-27,12,-2.46
2021-01-27,21,45.87
2021-01-27,22,38.92333333333334
2021-01-27,26,26.350000000000005
2021-01-27,27,24.05333333333333
2021-01-28,4,1.4466666666666665
2021-01-28,6,0.32
2021-01-28,12,0.31
2021-01-28,48,7.5
2021-01-29,1,7.483333333333333
2021-01-29,2,-3.6633333333333327
2021-01-29,5,0.97
2021-01-29,8,-24.290000000000003
2021-01-29,44,40.77
2021-01-29,45,17.34
2021-01-30,3,10.41
2021-01-30,5,8.61
2021-01-30,6,4.96
2021-01-30,8,-0.52
2021-01-30,10,-44.445
2021-01-30,11,-46.53
