settlementDate,settlementPeriod,acceptedprice
2021-01-02,24,81.11
2021-01-02,25,81.8
2021-01-05,7,81.98
2021-01-05,15,84.53
2021-01-06,43,96.43
2021-01-07,13,78.34
2021-01-07,14,81.27
2021-01-07,19,138.0
2021-01-07,20,138.0
2021-01-07,21,136.47
2021-01-08,42,131.64999999999998
2021-01-08,44,132.87
2021-01-11,5,80.42
2021-01-11,11,80.56
2021-01-11,16,89.91
2021-01-11,17,89.06
2021-01-11,18,92.78
2021-01-11,35,109.0
2021-01-11,36,109.0
2021-01-11,37,79.99
2021-01-11,40,94.7
2021-01-11,41,92.79
2021-01-11,42,92.29
2021-01-11,43,87.53
2021-01-11,44,79.23
2021-01-11,45,79.23
2021-01-12,40,52.815
2021-01-13,16,193.91
2021-01-13,17,150.0
2021-01-13,18,150.0
2021-01-13,19,20.0
2021-01-13,24,230.0
2021-01-13,43,107.88499999999999
2021-01-13,47,129.315
2021-01-14,4,109.77499999999999
2021-01-14,5,121.5
2021-01-14,7,100.91999999999999
2021-01-14,16,135.76666666666668
2021-01-14,17,135.76666666666668
2021-01-14,18,142.43333333333334
2021-01-14,19,164.31
2021-01-14,22,152.43333333333334
2021-01-14,24,140.0
2021-01-14,27,140.0
2021-01-14,43,99.675
2021-01-14,44,96.275
2021-01-14,45,98.20000000000002
2021-01-14,47,96.86500000000001
2021-01-14,48,102.43
2021-01-15,1,102.84
2021-01-15,2,101.81
2021-01-15,7,88.81
2021-01-15,10,75.50666666666666
2021-01-15,13,112.105
2021-01-15,14,82.57666666666667
2021-01-15,15,75.0
2021-01-15,16,75.0
2021-01-15,36,134.37
2021-01-15,37,125.97500000000001
2021-01-15,39,108.36
2021-01-15,40,121.07
2021-01-15,41,104.08
2021-01-19,27,85.0
2021-01-19,28,99.0
2021-01-25,16,97.9
2021-01-25,18,98.265
2021-01-25,19,97.75
2021-01-25,20,99.275
2021-01-25,21,99.055
2021-01-25,22,130.0
2021-01-25,45,95.19
2021-01-25,46,93.68
2021-01-25,47,93.6
2021-01-26,5,90.47
2021-01-26,7,91.77
2021-01-26,8,91.54
2021-01-26,9,85.99
2021-01-26,10,85.21
2021-01-26,13,95.47
2021-01-26,14,96.57
2021-01-26,21,98.0
2021-01-26,22,98.0
2021-01-26,38,98.34
2021-01-26,45,95.6
2021-01-26,46,92.69
2021-01-26,47,91.71
2021-01-27,4,90.25
2021-01-27,5,89.88
2021-01-27,7,98.27
2021-01-27,13,91.3
2021-01-27,17,102.0
2021-01-27,19,97.5
2021-01-27,43,99.03
2021-02-01,3,83.85
2021-02-01,4,82.12
2021-02-01,5,80.43
2021-02-01,6,81.79
2021-02-01,15,85.24
2021-02-01,16,119.1
2021-02-01,17,119.1
2021-02-08,2,87.03
2021-02-08,3,87.31
2021-02-08,5,85.87
2021-02-08,6,107.16499999999999
2021-02-08,7,94.65
2021-02-08,11,104.75
2021-02-08,12,88.44
2021-02-09,1,88.23
2021-02-09,2,87.06
2021-02-09,3,86.99
2021-02-09,5,86.99
2021-02-09,6,86.99
2021-02-09,45,99.8
2021-02-09,47,88.8
2021-02-09,48,93.8
2021-02-10,1,93.8
2021-02-10,2,93.8
2021-02-10,3,93.8
2021-02-10,11,96.0
2021-02-10,17,96.0
2021-02-10,18,96.0
2021-02-10,42,87.48750000000001
2021-02-18,19,31.11
2021-02-19,16,50.0
2021-02-19,17,50.0
2021-02-19,18,50.0
2021-03-02,13,83.19
2021-03-02,14,90.87
2021-03-02,15,83.29
2021-03-02,16,94.0
2021-03-02,19,119.88
2021-03-02,20,119.96
2021-03-02,21,119.73
2021-03-03,17,106.07
2021-03-03,20,129.94
2021-03-03,21,121.78999999999999
2021-03-03,22,117.86
2021-03-03,23,129.125
2021-03-03,24,105.175
2021-03-03,25,154.495
2021-03-03,26,174.475
2021-03-03,27,149.0
2021-03-03,30,104.945
2021-03-03,31,101.46
2021-03-03,32,101.46
2021-03-03,39,108.43
2021-03-03,40,119.40333333333335
2021-03-03,41,130.49
2021-03-03,44,119.61500000000001
2021-03-03,45,124.4
2021-03-09,47,-48.57
2021-03-09,48,-48.11
2021-03-10,16,83.31
2021-03-10,21,82.78
2021-03-12,22,6.47
2021-03-12,23,5.4
2021-03-17,19,80.0
2021-03-17,20,80.0
2021-03-17,25,89.0
2021-03-24,37,53.85
2021-03-24,38,68.91
2021-03-25,26,-43.98
2021-03-29,23,5.43
2021-03-29,24,43.0
2021-03-29,28,-27.77
2021-03-31,43,10.0
2021-04-01,2,33.11
2021-04-06,36,89.89
2021-04-06,37,89.89
2021-04-06,38,89.89
2021-04-06,39,89.89
2021-04-06,40,89.89
2021-04-06,41,89.89
2021-04-06,43,89.89
2021-04-06,44,89.89
2021-04-07,24,96.0
2021-04-07,25,96.0
2021-04-07,34,105.0
2021-04-08,18,99.0
2021-04-08,19,92.8
2021-04-08,20,92.8
2021-04-08,22,45.75
2021-04-08,39,89.79
2021-04-08,40,89.79
2021-04-08,41,89.79
2021-04-08,42,89.79
2021-04-08,43,89.79
2021-04-09,19,92.99
2021-04-09,20,92.99
2021-04-09,21,92.99
2021-04-09,22,92.99
2021-04-09,23,92.99
2021-04-09,24,92.99
2021-04-09,25,92.99
2021-04-09,26,92.99
2021-04-09,27,92.99
2021-04-09,28,92.99
2021-04-10,39,98.0
2021-04-10,40,98.0
2021-04-10,41,98.0
2021-04-10,42,92.0
2021-04-10,43,92.0
2021-04-10,44,92.0
2021-04-11,26,89.98
2021-04-11,27,89.98
2021-04-11,28,89.98
2021-04-11,29,10.0
2021-04-12,10,95.85
2021-04-12,11,97.48
2021-04-12,12,97.48
2021-04-12,18,390.0
2021-04-14,37,129.99
2021-04-15,33,123.99
2021-04-15,34,119.99
2021-04-15,35,119.99
2021-04-16,15,119.99
2021-04-16,43,119.99
2021-04-16,44,119.99
2021-04-17,15,119.99
2021-04-18,36,104.9
2021-04-18,37,104.9
2021-04-18,38,104.9
2021-04-19,41,104.9
2021-04-19,42,104.9
2021-04-19,43,104.9
2021-04-20,33,104.79
2021-04-20,34,104.79
2021-04-20,35,104.79
2021-04-20,36,104.79
2021-04-21,34,96.99
2021-04-21,35,96.99
2021-04-21,36,96.99
2021-04-21,37,96.99
2021-04-21,38,96.99
2021-04-21,42,96.99
2021-04-21,43,96.99
2021-04-21,44,96.99
2021-04-22,15,103.0
2021-04-22,16,103.0
2021-04-22,17,103.0
2021-04-22,18,103.0
2021-04-22,19,103.0
2021-04-22,20,103.0
2021-04-23,42,94.0
2021-04-23,43,94.0
2021-04-23,44,94.0
2021-04-24,17,94.0
2021-04-24,18,94.0
2021-04-24,19,94.0
2021-04-24,20,94.0
2021-04-24,22,94.0
2021-04-24,23,94.0
2021-04-24,37,96.99
2021-04-24,38,96.99
2021-04-24,39,96.99
2021-04-24,40,96.99
2021-04-24,41,96.99
2021-04-24,42,93.2
2021-04-24,43,96.99
2021-04-24,44,96.99
2021-04-25,20,94.0
2021-04-25,21,94.0
2021-04-25,22,94.0
2021-04-25,23,94.0
2021-04-25,24,97.0
2021-04-25,25,97.0
2021-04-25,26,97.0
2021-04-25,27,97.0
2021-04-25,28,94.0
2021-04-26,18,94.0
2021-04-26,35,98.99
2021-04-26,36,98.99
2021-04-26,37,98.99
2021-04-26,38,98.99
2021-04-26,42,98.99
2021-04-26,43,98.99
2021-04-27,25,98.99
2021-04-27,26,98.99
2021-04-27,27,98.99
2021-04-27,28,98.99
2021-04-27,29,98.99
2021-04-27,30,98.99
2021-04-27,31,98.99
2021-04-27,32,98.99
2021-04-27,33,98.99
2021-04-27,34,98.99
2021-04-27,35,98.99
2021-04-27,36,98.99
2021-04-28,16,98.99
2021-04-28,17,98.99
2021-04-28,33,98.99
2021-04-28,34,98.99
2021-04-28,40,103.99
2021-04-28,41,103.99
2021-04-28,42,103.99
2021-04-29,15,103.99
2021-04-29,16,103.99
2021-04-29,17,103.99
2021-04-29,18,102.99
2021-04-29,19,102.99
2021-04-29,20,102.99
2021-04-29,21,102.99
2021-04-29,22,102.99
2021-04-29,23,102.99
2021-04-29,24,102.99
2021-04-29,25,102.99
2021-04-30,21,119.99
2021-05-01,17,99.0
2021-05-01,18,110.0
2021-05-01,19,110.0
2021-05-01,20,99.8
2021-05-09,15,0.38
2021-05-09,36,-19.52
2021-05-19,29,70.29
2021-05-21,23,-43.67
2021-05-25,31,107.95
2021-05-25,32,108.0
2021-05-25,34,104.0
2021-05-25,35,105.0
2021-06-09,32,90.0
2021-06-09,33,90.0
2021-06-09,34,90.0
2021-06-14,28,104.0
2021-06-14,29,104.0
2021-06-14,30,104.0
2021-06-14,31,107.99
2021-06-14,39,107.99
2021-06-14,40,107.99
2021-06-14,41,107.99
2021-06-15,16,107.99
2021-06-15,17,107.99
2021-06-15,34,139.0
2021-06-15,35,139.0
