feature,imp_sum,imp_2023-06-01,imp_2023-06-03,imp_2023-06-05,imp_2023-06-07,imp_2023-06-09,imp_2023-06-11,imp_2023-06-13,imp_2023-06-15,imp_2023-06-17,imp_2023-06-19,imp_2023-06-21,imp_2023-06-23,imp_2023-06-25,imp_2023-06-27,imp_2023-06-29
sp3_6_pavgprice,0.2544143,0.2586788,0.24882369,0.24206573,0.25497264,0.25753608,0.24931623,0.25578517,0.24508125,0.26317015,0.24954431,0.25201496,0.2631444,0.25253767,0.25778815,0.2657552
BMU Fuel Type_label,0.17343268,0.16866827,0.16883096,0.17809564,0.18209392,0.18926716,0.17794442,0.18277383,0.17913717,0.17364101,0.15955807,0.17199892,0.17273854,0.16777427,0.1604076,0.16856058
BMU Type_label,0.0766368,0.06232132,0.059895728,0.07340126,0.06862618,0.06677987,0.06536354,0.07096506,0.067645915,0.07896026,0.08934518,0.08646608,0.084820785,0.09822904,0.08884866,0.087883085
Z1,0.047254212,0.04607748,0.049844146,0.052209955,0.045598462,0.050131414,0.048080057,0.05041004,0.046509482,0.04973169,0.043130714,0.039876036,0.051138043,0.047728978,0.04019556,0.048151106
Z6,0.04406568,0.056149196,0.051982816,0.04737539,0.048350736,0.055006657,0.050557356,0.050049778,0.05418902,0.04612115,0.034000114,0.03221944,0.033809118,0.037466552,0.029863372,0.033844512
Transmission Loss Factor,0.031693496,0.032337163,0.03175427,0.03257886,0.028071554,0.038675167,0.027208786,0.02755814,0.028227735,0.028166277,0.029070713,0.033058602,0.03951952,0.03411819,0.031022502,0.034034953
Weekend,0.029426424,0.052185368,0.06377053,0.0542022,0.035701692,0.039527196,0.00084237085,0.025321882,0.030372083,0.031852745,0.03634916,0.029621245,0.005497645,0.00087759446,0.03061333,0.0046613347
LOC Center LONG,0.023318503,0.034958832,0.026959242,0.032583248,0.032541335,0.026742121,0.035484545,0.019116642,0.015264275,0.01710736,0.015229711,0.018358879,0.013915399,0.018016249,0.027184866,0.016314862
LOC Center LAT,0.021140879,0.027106859,0.021742323,0.023687867,0.024349775,0.023550492,0.017053457,0.018484605,0.016829675,0.016477086,0.020613985,0.021266412,0.02061005,0.019322494,0.021871727,0.024146413
LOC LONG,0.019058825,0.012218708,0.014158856,0.015605794,0.019718273,0.012035757,0.015887093,0.023882644,0.016334921,0.022514522,0.020912591,0.022118852,0.022801416,0.022519762,0.022347152,0.022826046
Demand Capacity,0.017701656,0.019340623,0.02055132,0.019834416,0.024053037,0.020899244,0.022236846,0.023658412,0.022476502,0.022825051,0.0111877555,0.010533598,0.011499082,0.009908423,0.011553936,0.0149665745
Base TU Flag_label,0.01659848,0.013501909,0.012542508,0.010336165,0.014633067,0.008889429,0.0094146505,0.008670392,0.00978386,0.011859928,0.032721583,0.011381682,0.014243005,0.030010708,0.03311558,0.02787269
sp6_12_pavgprice,0.013502626,0.012629251,0.0129503375,0.011892281,0.010854282,0.010281955,0.009414471,0.009092933,0.009650376,0.009145282,0.01899371,0.017814951,0.017033756,0.017160485,0.017867342,0.017757973
marketIndexPrice,0.0129557755,0.013893606,0.012429005,0.013753438,0.013845926,0.01366873,0.016922703,0.016495384,0.017845701,0.015104016,0.011509924,0.009958409,0.010340682,0.009485869,0.009586095,0.009497168
Exempt Export Flag_label,0.01223455,0.01288719,0.013179301,0.0116452025,0.015629597,0.010536681,0.013309256,0.012075972,0.013298441,0.011902316,0.00964542,0.011441991,0.012574588,0.011115026,0.011844213,0.012433052
Month_COS,0.011240496,0.002827628,0.005556598,0.0046571405,0.005448565,0.0053967224,0.01826951,0.0033213985,0.003322083,0.0036554215,0.018768312,0.01998272,0.018595776,0.019194286,0.020416103,0.019195171
settPeriod_SIN,0.0111901155,0.013143497,0.014095367,0.0072908676,0.0071069445,0.007139772,0.01090102,0.010713579,0.014943825,0.011194821,0.016767548,0.013838601,0.011619321,0.010140092,0.0074876607,0.011468823
settPeriod_COS,0.010057528,0.009065777,0.009688509,0.009225009,0.010154308,0.0091157565,0.009644816,0.009447101,0.009889311,0.009569085,0.009639348,0.012470134,0.009975684,0.010916388,0.0097140055,0.012347678
LOC LAT,0.008763498,0.008750715,0.009726711,0.009071547,0.0077306023,0.009893968,0.008337615,0.008106621,0.007744775,0.008514463,0.00788097,0.010373535,0.011294618,0.007447828,0.007671818,0.00890668
acceptedvolume,0.008555283,0.008115369,0.009235657,0.008849493,0.008782783,0.00949526,0.008531539,0.008970621,0.007348785,0.009205375,0.0068775318,0.00778479,0.0077960053,0.0078381235,0.009620018,0.009877891
PC Flag_label,0.007331748,0.007390882,0.007180336,0.007327879,0.008003279,0.0071918652,0.008545921,0.008265258,0.007043198,0.0072278325,0.008092585,0.007134131,0.007833464,0.0060986397,0.006644999,0.0059959474
Z12,0.0069620535,0.0011297883,0.0012956348,0.0006629424,0.0021995537,0.0016258992,0.0170792,0.02789541,0.021728056,0.02272074,0.0009173287,0.0019575115,0.0016822288,0.0008135142,0.001347708,0.0013752889
BZONE GENERATION,0.00643034,0.001981778,0.008953958,0.0104246875,0.0027161455,0.0014190322,0.004894091,0.00491063,0.00320754,0.0028525365,0.011987217,0.009741529,0.017573409,0.006207171,0.004042122,0.0055432655
Generation Capacity,0.0060787355,0.0063139256,0.0051302067,0.0065729003,0.00592878,0.0055548977,0.0063920585,0.0049402732,0.0059303655,0.006027669,0.004859941,0.006323976,0.0068967403,0.006766322,0.0060832785,0.0074596982
NatGas_price,0.0060721603,0.006133596,0.0063007935,0.0057222997,0.006099747,0.0063585243,0.005648706,0.006289648,0.005924698,0.005896393,0.006328108,0.0062264926,0.006039016,0.005756615,0.00639484,0.0059629255
