feature,imp_sum,imp_2023-06-01,imp_2023-06-03,imp_2023-06-05,imp_2023-06-07,imp_2023-06-09,imp_2023-06-11,imp_2023-06-13,imp_2023-06-15,imp_2023-06-17,imp_2023-06-19,imp_2023-06-21,imp_2023-06-23,imp_2023-06-25,imp_2023-06-27,imp_2023-06-29
sp3_6_pavgprice,0.20689313,0.20896748,0.21363425,0.23986201,0.22000363,0.23437886,0.19230233,0.18324684,0.21773508,0.19752376,0.17891513,0.19747433,0.19988413,0.19679366,0.21509819,0.20757751
Month_COS,0.19731101,0.17842762,0.19836159,0.16839583,0.21578895,0.18799193,0.1893728,0.18784991,0.1503742,0.1632113,0.17969507,0.24621786,0.2130188,0.30237263,0.23146385,0.1471226
Month_SIN,0.08020293,0.13822043,0.09664112,0.13023682,0.1409291,0.13205977,0.11168654,0.08870595,0.0963062,0.10977732,0.11237389,0.01007607,0.021562114,0.002123012,0.011003491,0.0013421435
Weekend,0.0618018,0.03210733,0.1199116,0.035292845,0.03001969,0.025216043,0.021648796,0.094901145,0.06205652,0.12071093,0.079178534,0.049215987,0.06752836,0.068494365,0.050940357,0.06980457
LOC Center LONG,0.055843417,0.06334815,0.05077572,0.06554336,0.052058596,0.05488382,0.033940807,0.04259647,0.05727405,0.054313157,0.040738266,0.056177445,0.06604181,0.05217056,0.080009826,0.06777926
DAID_spnDemand,0.04721968,0.052004475,0.049220104,0.048177544,0.047725905,0.04800047,0.05623156,0.04432515,0.055717364,0.05512768,0.04292087,0.048301473,0.037720293,0.05431182,0.029135464,0.039374936
Day_SIN,0.03612368,0.015543793,0.0039878413,0.0029395968,0.0027792864,0.0025423924,0.058169294,0.039921824,0.002721717,0.0075571337,0.11927426,0.06129146,0.045154966,0.06043438,0.0606351,0.058902197
settPeriod_SIN,0.036019538,0.026860494,0.026085408,0.04698722,0.046370443,0.04182643,0.051311456,0.051328983,0.040908407,0.04482195,0.027787743,0.02483685,0.019017903,0.033972874,0.025282463,0.032894414
DANF_Demand,0.030729821,0.038127813,0.02577661,0.039042722,0.032049783,0.030659802,0.034307085,0.025178919,0.047323685,0.028847894,0.024631435,0.03632218,0.04250671,0.015640453,0.017633092,0.022899115
LOC Center LAT,0.024148976,0.028157193,0.029622447,0.035154097,0.03267921,0.033950657,0.021401027,0.019288896,0.02954057,0.021855418,0.020779578,0.017184004,0.017253611,0.020064851,0.026001938,0.00930112
sp6_12_pavgprice,0.019745283,0.02094524,0.016251503,0.02162508,0.021351857,0.025612624,0.013942695,0.014398399,0.020145811,0.026736543,0.015436919,0.017395947,0.02218315,0.018837525,0.021716183,0.019599753
Day_COS,0.019252606,0.0017282182,0.0040250053,0.0030778593,0.0010824191,0.0011562087,0.02110158,0.033346023,0.020096207,0.0014350202,0.0044302335,0.02943205,0.03885096,0.0012153123,0.023076767,0.10473523
WindOnshore_Generation,0.018172367,0.021913279,0.020327577,0.022885522,0.023757333,0.020199314,0.012962568,0.01779018,0.017643422,0.008905745,0.0065795504,0.021354245,0.0272907,0.028183373,0.010041443,0.012751267
marketIndexPrice,0.017732168,0.017317409,0.019576056,0.014044098,0.013946887,0.014033078,0.016718341,0.018887045,0.019478153,0.020278279,0.0144503955,0.017299961,0.024195397,0.01779832,0.018699942,0.019259116
settPeriod_COS,0.015278397,0.005338967,0.005049952,0.00682697,0.0048176465,0.004886435,0.04433832,0.017601835,0.011348929,0.012855138,0.010155675,0.018911147,0.013265324,0.004465193,0.037423953,0.03189047
