feature,imp_sum,imp_2023-06-01,imp_2023-06-03,imp_2023-06-05,imp_2023-06-07,imp_2023-06-09,imp_2023-06-11,imp_2023-06-13,imp_2023-06-15,imp_2023-06-17,imp_2023-06-19,imp_2023-06-21,imp_2023-06-23,imp_2023-06-25,imp_2023-06-27,imp_2023-06-29
sp3_6_pavgprice,0.15869118,0.15844035,0.15898067,0.15903178,0.15856199,0.15918349,0.15773708,0.15691227,0.1573465,0.15757942,0.15860794,0.15916817,0.15929103,0.15996177,0.15969537,0.15986982
Coal_price,0.1341162,0.13489054,0.1351893,0.13490361,0.13441733,0.13528663,0.13394399,0.13309035,0.13301198,0.13279115,0.13361482,0.13382189,0.13362443,0.1337328,0.13464785,0.13477643
DAMargin,0.121317625,0.12090831,0.1222111,0.12229401,0.12178684,0.12232246,0.12249066,0.12153351,0.12102717,0.120868854,0.12143932,0.12119585,0.1206445,0.12067072,0.12048298,0.11988825
sp6_12_pavgprice,0.09812712,0.09797384,0.09840456,0.098378815,0.09796464,0.09851625,0.09772855,0.097297125,0.09723298,0.097335845,0.09798757,0.0983382,0.09838127,0.09850893,0.09890107,0.09895702
Month_SIN,0.079447545,0.07929651,0.079625554,0.07968753,0.079506,0.079949625,0.07904945,0.0786479,0.078582525,0.07862517,0.07946405,0.07982429,0.07985423,0.07983024,0.07983339,0.07993678
BrentOil_price,0.05521865,0.055759,0.055707,0.055518508,0.05520627,0.055429585,0.054894626,0.054595195,0.05466778,0.054759685,0.055252813,0.05550354,0.055545587,0.055375867,0.055012286,0.05505199
WindOffshore_Generation,0.039805133,0.040366765,0.040289674,0.039997518,0.03975086,0.040003106,0.039793134,0.039504275,0.039579827,0.039561693,0.039683416,0.03978854,0.03973483,0.039906695,0.039618403,0.03949821
WindOnshore_Generation,0.03414302,0.03213464,0.032249637,0.032162644,0.032135293,0.032215472,0.039419007,0.03930809,0.039394427,0.039482646,0.032171678,0.032369588,0.032381848,0.03230672,0.032183267,0.032230277
DATF_Demand,0.03381759,0.03324562,0.033620995,0.03377787,0.033795863,0.034051213,0.03378994,0.03357255,0.033643834,0.03355484,0.033757634,0.033879682,0.033838082,0.034082416,0.03427599,0.034377314
DAImbalance,0.028199553,0.028264504,0.0284467,0.028354313,0.028230393,0.028273728,0.028059687,0.027879788,0.027923727,0.027974756,0.028140374,0.028244259,0.028234761,0.028352091,0.028327918,0.028286336
LOC Center LONG,0.028167674,0.026610214,0.026606178,0.02647542,0.026343817,0.026445284,0.026135525,0.025952673,0.03225346,0.03221097,0.026091382,0.028942993,0.0289437,0.037117284,0.026153907,0.02623234
BMU GSP Group Name_label,0.02744369,0.02784831,0.027849048,0.027757766,0.027608182,0.027722094,0.027474705,0.027237194,0.027197085,0.027148683,0.02727635,0.027317954,0.027321318,0.027348023,0.027299248,0.027249454
Month_ordin,0.022366606,0.022221578,0.02238603,0.022509843,0.022488572,0.022577906,0.022360494,0.022206997,0.019932128,0.019919766,0.02239401,0.02255887,0.02258458,0.020413013,0.02542852,0.025516761
sp3_6_totalvolume,0.022322154,0.023996385,0.024069993,0.024049992,0.023838188,0.020719388,0.020624436,0.023769515,0.020558914,0.020579277,0.024040172,0.02082051,0.02082313,0.018367253,0.024283407,0.024291746
marketIndexPrice,0.02185546,0.02149053,0.021648087,0.021687265,0.021312473,0.022238923,0.022165518,0.022102997,0.02145097,0.021461947,0.021751618,0.021864785,0.021856112,0.021599572,0.022605268,0.022595854
sp6_12_totalvolume,0.019369343,0.019302567,0.019376086,0.019344762,0.019276395,0.019443825,0.019302031,0.01922073,0.01919366,0.019215982,0.019426031,0.019457698,0.019461429,0.019517798,0.01950261,0.019498564
sp3_6_meanvolume,0.011681703,0.014716353,0.014565612,0.014236528,0.014038201,0.013924766,0.013845739,0.006934619,0.0069465972,0.013793308,0.0138881765,0.013922465,0.013877351,0.00694995,0.006823417,0.0067624487
DANF_Demand,0.009694084,0.01129477,0.009156151,0.009217081,0.01160696,0.009425665,0.009319808,0.009451916,0.009355758,0.009383512,0.009545527,0.009479801,0.009502664,0.009386446,0.009624584,0.009660598
settPeriod_SIN,0.007522898,0.006892045,0.0049984045,0.0049359445,0.0049237716,0.0068524694,0.007004822,0.013735015,0.013783783,0.0069534034,0.006994393,0.0050417893,0.0050059822,0.007563474,0.009083092,0.009075079
SystemTotalLoad_Consumption,0.006880444,0.006802347,0.006813274,0.0069429358,0.0069417236,0.007164349,0.006941322,0.0068806065,0.006823691,0.0067723338,0.006856454,0.0066915145,0.00667354,0.0067592277,0.0070609413,0.0070823967
settlementDate_ordin,0.005475961,0.004780585,0.004872775,0.004853138,0.0048912964,0.0049541336,0.004992691,0.0058719157,0.0059440834,0.005975327,0.0061460547,0.0061749034,0.006189639,0.0065447465,0.0049448125,0.005003317
DAID_spnDemand,0.005256765,0.0045335526,0.0045501334,0.004636346,0.00551732,0.0047165314,0.0054417765,0.005407009,0.005404123,0.0054104044,0.005465511,0.005448076,0.005477215,0.0055019273,0.0056560882,0.0056854635
LOC Center LAT,0.0050878366,0.005096924,0.0051030866,0.0050887545,0.0050680456,0.00559108,0.0050367713,0.0050001964,0.0045886426,0.0045843176,0.0050161076,0.005029036,0.0050362246,0.0050443965,0.0055082124,0.0055257496
DAIG_spnGeneration,0.0043555954,0.0041506286,0.004016861,0.004813304,0.004543901,0.004258324,0.0040526446,0.0039755027,0.0040462795,0.004054398,0.004507288,0.004460193,0.004465969,0.004327673,0.004821327,0.004839643
settlementPeriod_ordin,0.0036845945,0.003608086,0.003705257,0.003709336,0.0039432133,0.0034761345,0.0036627054,0.0036815992,0.0037580451,0.0037084885,0.003922249,0.004191864,0.0041791317,0.0038134856,0.0029583222,0.0029509952
GenerationForecast_Production,0.0026260635,0.0027222377,0.002661525,0.002635997,0.0025433595,0.002689742,0.002551078,0.0024989008,0.0025840532,0.002593081,0.0025553354,0.0025199011,0.002532897,0.0028807758,0.002706129,0.0027159378
Weekday_SIN,0.0022690534,0.002260935,0.0023435361,0.0024613568,0.002328143,0.0023404686,0.0022334256,0.0022545154,0.0021813894,0.002173665,0.0022615746,0.002222015,0.0022324368,0.0022851191,0.002273113,0.0021841023
sp6_12_meanvolume,0.0020883323,0.002084294,0.0020709184,0.0020441161,0.0021066791,0.002023506,0.002130695,0.0021062384,0.0021020488,0.0021015562,0.0021134485,0.0021108547,0.0021046912,0.0020906196,0.0020727713,0.002062548
Day_SIN,0.0020392155,0.0020022886,0.0019861897,0.0019727482,0.0020707683,0.002066202,0.0020437995,0.0020302804,0.002108803,0.0021128873,0.00204243,0.00208749,0.0020833174,0.002055697,0.0019779587,0.0019473757
settPeriod_COS,0.0017792785,0.001573728,0.0014700182,0.0014827664,0.0014767535,0.0016006975,0.0020361869,0.002024187,0.0020303642,0.0020110868,0.0020147788,0.0018576003,0.0015143256,0.0014755476,0.0020626052,0.0020585307
Holiday,0.0014636032,0.0018852038,0.0019533106,0.0019306251,0.0018780824,0.0018605115,0.0009900496,0.0010088257,0.0010427695,0.0010477526,0.0010314466,0.0010749466,0.0020081333,0.0020903281,0.0010747951,0.0010772711
Day_COS,0.001318662,0.0012555601,0.0015713313,0.0015805172,0.0011798161,0.001389514,0.0012705832,0.001247017,0.0013943575,0.0013758362,0.0012845965,0.0013201591,0.0013232257,0.0012608281,0.0011559254,0.0011706639
marketIndexVolume,0.0009942082,0.00027745735,0.00025665885,0.0002608418,0.0013877836,0.0,0.0,0.0016495822,0.001581083,0.0015670088,0.0018198431,0.0018727691,0.0018754139,0.0016183616,0.00037252315,0.00037379737
Day_ordin,0.0007707275,0.0007905884,0.0008029964,0.0008081846,0.00074665557,0.0008371617,0.0008049057,0.00079386326,0.00071955065,0.0007159711,0.0007572342,0.0007040122,0.00070388516,0.0007860963,0.00078872807,0.0008010806
Solar_Generation,0.00060242706,0.0005227337,0.00044142976,0.00045779234,0.0005844114,0.00044974167,0.00067216146,0.0006171126,0.00060759735,0.0005949687,0.0006784645,0.0006937715,0.00069309416,0.000474038,0.00078319747,0.00076589227
Weekday_COS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month_COS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activeFlag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NatGas_price,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
