feature,imp_sum,imp_2023-06-01,imp_2023-06-03,imp_2023-06-05,imp_2023-06-07,imp_2023-06-09,imp_2023-06-11,imp_2023-06-13,imp_2023-06-15,imp_2023-06-17,imp_2023-06-19,imp_2023-06-21,imp_2023-06-23,imp_2023-06-25,imp_2023-06-27,imp_2023-06-29
PC Status_label,0.25434056,0.4002527,0.3210519,0.39289278,0.37796465,0.38849726,0.40378186,0.34908903,0.35497773,0.36463702,0.45399395,0.0032906653,0.00056752254,0.0006249745,0.0014899637,0.0019968923
Z6,0.18170404,0.12736723,0.14501028,0.14523639,0.16271324,0.12962331,0.14473583,0.17918043,0.15465091,0.1602675,0.10251127,0.18262365,0.27245474,0.25105518,0.30568218,0.26244852
sp3_6_pavgprice,0.065846786,0.053185876,0.061809883,0.05351507,0.058452755,0.057455692,0.053837106,0.06104135,0.06774872,0.065848894,0.05810691,0.08846169,0.07635598,0.07530657,0.07600765,0.08056759
LOC LAT,0.048346344,0.041740086,0.045004822,0.03557933,0.03378473,0.035602033,0.033927444,0.045403596,0.051782146,0.052681327,0.051077362,0.07593575,0.055897247,0.053285904,0.05510934,0.058384065
Coal_price,0.038307462,0.035866007,0.037815582,0.030798394,0.032608584,0.03085417,0.03835322,0.033560447,0.03352757,0.035779223,0.033900127,0.05416257,0.042236485,0.043296047,0.043129213,0.048724253
Solar_Generation,0.03752582,0.02846067,0.027294591,0.031664684,0.030300397,0.023546029,0.025965698,0.032657508,0.033896964,0.033202197,0.03031755,0.05015506,0.06067715,0.053855542,0.04920736,0.05168595
BMU Type_label,0.030683542,0.0006086954,0.0013618662,0.0013338107,0.0010405892,0.0008948954,0.0030578517,0.0027280175,0.0018707103,0.0018198256,0.001472497,0.0043697036,0.09791011,0.13598683,0.088722445,0.117075264
BZONE GENERATION,0.024320448,0.019425614,0.023849497,0.016891157,0.019548152,0.02028507,0.017410202,0.023454575,0.018969433,0.024730207,0.017870894,0.040125705,0.033828113,0.028659545,0.036024977,0.023733562
settPeriod_COS,0.023814145,0.02104441,0.021905888,0.019286292,0.01997813,0.021035435,0.018541725,0.022760324,0.022052055,0.02113268,0.020742305,0.03161506,0.029381169,0.027813563,0.02667732,0.03324587
acceptedvolume,0.017788308,0.016249064,0.017840598,0.016218534,0.016788539,0.015567308,0.017472427,0.015885707,0.014577994,0.014722526,0.01421613,0.021243682,0.022742724,0.022087129,0.02126081,0.01995142
