feature,imp_sum,imp_2023-06-01,imp_2023-06-03,imp_2023-06-05,imp_2023-06-07,imp_2023-06-09,imp_2023-06-11,imp_2023-06-13,imp_2023-06-15,imp_2023-06-17,imp_2023-06-19,imp_2023-06-21,imp_2023-06-23,imp_2023-06-25,imp_2023-06-27,imp_2023-06-29
sp3_6_pavgprice,0.21942374,0.2201537,0.2210311,0.21373814,0.21036175,0.22219504,0.22346829,0.20950499,0.21186154,0.22077535,0.20727289,0.2186803,0.21843351,0.22594124,0.23802435,0.22991374
settPeriod_COS,0.15496728,0.15990645,0.17142463,0.16567896,0.14685972,0.16082315,0.15649882,0.14996241,0.1463267,0.16284424,0.15878083,0.16018076,0.14116599,0.15051945,0.14765574,0.14588144
Day_ordin,0.066664286,0.067780465,0.062327594,0.056366876,0.06684072,0.06846046,0.076780595,0.063096106,0.057893924,0.063377574,0.0645614,0.07307487,0.06997317,0.059014693,0.065016925,0.08539887
Coal_price,0.05158252,0.04211409,0.04423252,0.041888867,0.051499974,0.041218724,0.04287409,0.07813884,0.08243072,0.07546585,0.06609116,0.043844342,0.044907175,0.040379986,0.035007,0.043644447
LOC Center LONG,0.045761816,0.04620483,0.048128836,0.04732611,0.043097228,0.045218177,0.047239218,0.04401474,0.045768425,0.048636235,0.04797331,0.04312217,0.044465147,0.044587083,0.045583226,0.04506256
sp3_6_meanvolume,0.032955386,0.03340002,0.033998277,0.031577405,0.034327555,0.034081604,0.0307295,0.029872924,0.035071995,0.031502992,0.032303613,0.030566875,0.03377092,0.03670651,0.031232275,0.035188355
DAMargin,0.028836617,0.027458852,0.03177086,0.029280065,0.02792136,0.031070016,0.028827371,0.026062187,0.028484143,0.027902998,0.03095187,0.027301455,0.033327285,0.029499091,0.026477525,0.026214248
WindOffshore_Generation,0.02232734,0.02132511,0.025011051,0.020552028,0.018010402,0.018915372,0.026476054,0.018892938,0.01759756,0.023032116,0.022027347,0.017443435,0.026750786,0.02273105,0.023239968,0.032904938
settlementDate_ordin,0.018842546,0.017827582,0.01933375,0.019172536,0.018374186,0.02135962,0.023656834,0.016901348,0.018187294,0.018204598,0.01612756,0.01663467,0.02014212,0.020123286,0.02002397,0.016568832
LOC Center LAT,0.018815616,0.02724085,0.0143812625,0.0195525,0.014079108,0.019549392,0.015163526,0.017621053,0.017823588,0.018705584,0.014043186,0.03021097,0.015668854,0.019849923,0.020399284,0.017945178
marketIndexPrice,0.018753676,0.02061661,0.018201344,0.016569233,0.015620087,0.019904684,0.016933888,0.020156013,0.020431263,0.019909203,0.018778294,0.01687232,0.01890117,0.019692197,0.020138185,0.018580653
DAImbalance,0.018477283,0.017675687,0.01988528,0.019948091,0.016627,0.020488486,0.018522996,0.017904598,0.020752948,0.016038286,0.016914938,0.016403915,0.020812007,0.015911268,0.019798845,0.019474898
DATF_Demand,0.017509965,0.017903015,0.01614272,0.015992325,0.016104072,0.021299565,0.01675547,0.017922722,0.017881712,0.0163081,0.01829796,0.018161453,0.0186511,0.016481236,0.0177426,0.017005436
Month_ordin,0.016491305,0.014007418,0.01515783,0.016065745,0.013975002,0.016595434,0.01955975,0.017178413,0.013849723,0.017479248,0.016661016,0.019177008,0.016227407,0.016477467,0.017473156,0.017484948
NatGas_price,0.015634444,0.01472197,0.013958967,0.014242069,0.013259894,0.015788278,0.016007146,0.016469313,0.017111517,0.016992781,0.016344791,0.014143923,0.016977279,0.015956312,0.017634723,0.014907709
sp3_6_totalvolume,0.014762216,0.015860645,0.015077549,0.015808651,0.016066903,0.014974263,0.014471904,0.012836171,0.01469675,0.013896392,0.014306048,0.015263205,0.013417588,0.014258519,0.014598843,0.015899802
Weekday_COS,0.014467416,0.012726299,0.014333455,0.014948277,0.020444036,0.01148472,0.017966744,0.014752751,0.015664997,0.012820424,0.015631733,0.012071868,0.013018755,0.014129604,0.011339582,0.015677996
Weekend,0.013984408,0.0025740617,0.0041086697,0.013967362,0.051370956,0.001754078,0.0032109765,0.0030472593,0.009557824,0.0016070042,0.008748172,0.038299564,0.03736707,0.029850278,0.00328145,0.0010214207
marketIndexVolume,0.013864185,0.013277975,0.01590667,0.013940874,0.01617061,0.012656393,0.0125570735,0.013206699,0.013421634,0.014088565,0.010668884,0.013251377,0.012635608,0.013128953,0.016002867,0.017048579
sp6_12_meanvolume,0.013568097,0.008978367,0.009998684,0.015769243,0.010228685,0.015501788,0.009245874,0.01195435,0.013951464,0.018265542,0.012544053,0.011103037,0.01753507,0.01737261,0.0149229765,0.016149698
BrentOil_price,0.013385702,0.025101885,0.011702903,0.01323203,0.01322552,0.016048932,0.010997229,0.0113493325,0.012886981,0.009773353,0.011573972,0.0136096645,0.011328993,0.014274351,0.011734107,0.013946264
BMU GSP Group Name_label,0.013292274,0.012534968,0.011882019,0.013157809,0.012311143,0.012463729,0.012657387,0.016398957,0.012561373,0.01288847,0.01952372,0.012737587,0.011753956,0.012944235,0.013196193,0.012372559
settPeriod_SIN,0.012633159,0.013043881,0.011150013,0.014080308,0.011279888,0.016076166,0.015479291,0.011329645,0.010695371,0.0124549605,0.012710212,0.010087154,0.011609606,0.011706606,0.012893433,0.014900849
Solar_Generation,0.012216941,0.013528205,0.01320638,0.015543092,0.013651992,0.014182121,0.011774782,0.011723942,0.011871463,0.0101562245,0.008716753,0.010386619,0.012223481,0.01358153,0.010894847,0.011812692
Day_COS,0.0120536005,0.012454412,0.011129942,0.0146097485,0.009361871,0.013836821,0.018095307,0.01127136,0.01165083,0.011029219,0.011610949,0.008981055,0.010427644,0.010782571,0.012893655,0.012668641
Day_SIN,0.011884669,0.013186718,0.011443967,0.01050973,0.011300168,0.010713695,0.010562755,0.010921004,0.010443903,0.009657835,0.015565863,0.014313811,0.011324436,0.011932231,0.014556749,0.011837174
GenerationForecast_Production,0.011829808,0.008095725,0.008996934,0.0067285155,0.02149408,0.008532192,0.009163404,0.011139449,0.008051213,0.012642036,0.021538911,0.007781141,0.011358944,0.012756066,0.020145783,0.009022727
DAID_spnDemand,0.011390027,0.008272682,0.022041326,0.011923609,0.007754078,0.019000659,0.012476626,0.0081505,0.017486777,0.010503095,0.009802134,0.0073711863,0.008702734,0.008906815,0.010038574,0.0084196
sp6_12_pavgprice,0.010807637,0.010505004,0.011646369,0.0101147145,0.0090217935,0.010346648,0.01028604,0.011121506,0.011114923,0.012518616,0.010187615,0.010057661,0.01334738,0.0100712655,0.012753108,0.009021903
WindOnshore_Generation,0.010349903,0.012962075,0.005545845,0.020673458,0.0063139745,0.0063305767,0.010138076,0.020291444,0.0050234552,0.00550562,0.008582472,0.015507045,0.00781177,0.009450265,0.010903048,0.010209428
Month_SIN,0.010292502,0.013816597,0.011562973,0.009785129,0.014158381,0.007928613,0.014252058,0.010121443,0.008043766,0.008640099,0.007973414,0.00812265,0.012401406,0.010623329,0.010223009,0.00673467
DANF_Demand,0.009382797,0.011690415,0.014436917,0.010855899,0.011668001,0.007287842,0.008015575,0.0072920113,0.0069117444,0.008892314,0.012469804,0.0069929864,0.008679574,0.009299046,0.009247478,0.0070023416
sp6_12_totalvolume,0.009082812,0.010396688,0.0101749,0.008489759,0.008317101,0.009636879,0.010283537,0.008219322,0.009527829,0.00820172,0.010384947,0.008255576,0.0071566277,0.009338376,0.0077062333,0.010152679
DAIG_spnGeneration,0.007776937,0.006795747,0.006930911,0.0101713585,0.0061132023,0.009339005,0.008200945,0.0071753785,0.008546346,0.006631103,0.007279204,0.0077385674,0.009684356,0.007099297,0.006955884,0.007992755
Weekday_SIN,0.0077618575,0.008205479,0.007311032,0.007854924,0.0064132498,0.011159922,0.00678157,0.010218966,0.015306496,0.006375839,0.008067388,0.007064967,0.004321133,0.00968619,0.005974047,0.0016866522
Month_COS,0.0060073007,0.007196576,0.00349863,0.0052498723,0.0038133936,0.0019110875,0.003173976,0.022694701,0.005900845,0.0033625183,0.002743935,0.0036934747,0.0026198144,0.0041718236,0.013244883,0.0068339794
settlementPeriod_ordin,0.0053344923,0.0052320235,0.0043788613,0.005197065,0.0054074093,0.005684325,0.004473587,0.0058766897,0.0055331825,0.0073419027,0.005395662,0.0047471556,0.0041981516,0.004755127,0.004984821,0.006811435
SystemTotalLoad_Consumption,0.0050197844,0.0040189265,0.0075885043,0.004913879,0.0054417895,0.004056344,0.004476577,0.0037597127,0.0071164784,0.004258938,0.0055664955,0.0056407065,0.004913447,0.0040791268,0.0044613834,0.0050044525
Holiday,0.0018076547,0.0012079077,0.00096051523,0.0045238114,0.0017137019,0.0021252448,0.0017652491,0.0014487712,0.002561279,0.0013130463,0.0012775232,0.0011034785,0.0019885113,0.0019310319,0.0015992821,0.0015954674
